M,N,Q,Optical Recieved Power(dBm),SOMA (dBm),Products Supported Precision,Sum of Products Supported Precision
128,1,6000,-22.6704498112135,-10.0,2,2
128,2,6000,-19.663949406147253,-10.0,2,3
128,3,6000,-17.907160554349634,-10.0,2,4
128,4,6000,-16.66222816036092,-10.0,2,4
128,5,6000,-15.697918480768793,-10.0,2,4
128,6,6000,-14.911234785825865,-10.0,2,5
128,7,6000,-14.247235990141993,-10.0,2,5
128,8,6000,-13.673127455991125,-10.0,2,5
128,9,6000,-13.167756147803221,-10.0,2,5
128,10,6000,-12.716679030968006,-10.0,2,5
128,11,6000,-12.309594543166272,-10.0,2,5
128,12,6000,-11.9388964297144,-10.0,2,5
128,13,6000,-11.598808435352995,-10.0,2,6
128,14,6000,-11.28484059012375,-10.0,2,6
128,15,6000,-10.993433535057505,-10.0,2,6
128,16,6000,-10.721717872678047,-10.0,2,6
128,17,6000,-10.467346602817427,-10.0,2,6
128,18,6000,-10.228375527000255,-10.0,2,6
128,19,6000,-10.003176031702878,-10.0,2,6
128,20,6000,-9.79037026933012,-10.0,2,6
128,21,6000,-9.58878217061201,-10.0,2,6
128,22,6000,-9.397399863744907,-10.0,2,6
128,23,6000,-9.215346454355032,-10.0,2,6
128,24,6000,-9.0418570289698,-10.0,2,6
128,25,6000,-8.876260356149663,-10.0,2,7
128,26,6000,-8.717964178799944,-10.0,2,7
128,27,6000,-8.566443283786331,-10.0,2,7
128,28,6000,-8.421229742358776,-10.0,2,7
128,29,6000,-8.281904863995543,-10.0,2,7
128,30,6000,-8.148092514907283,-10.0,2,7
128,31,6000,-8.01945353255084,-10.0,2,7
128,32,6000,-7.8956810272496805,-10.0,2,7
128,33,6000,-7.776496407043167,-10.0,2,7
128,34,6000,-7.661645996155281,-10.0,2,7
128,35,6000,-7.550898143786121,-10.0,2,7
128,36,6000,-7.444040740312041,-10.0,2,7
128,37,6000,-7.340879073888118,-10.0,2,7
128,38,6000,-7.241233972964664,-10.0,2,7
128,39,6000,-7.144940190138027,-10.0,2,7
128,40,6000,-7.0518449906626675,-10.0,2,7
128,41,6000,-6.961806915291689,-10.0,2,7
128,42,6000,-6.874694692231614,-10.0,2,7
128,43,6000,-6.790386277152862,-10.0,2,7
128,44,6000,-6.708768003586441,-10.0,2,7
128,45,6000,-6.62973382881737,-10.0,2,7
128,46,6000,-6.553184662680466,-10.0,2,7
128,47,6000,-6.479027768553988,-10.0,2,7
128,1,6000,-22.6704498112135,-12.5,3,3
128,2,6000,-19.663949406147253,-12.5,3,4
128,3,6000,-17.907160554349634,-12.5,3,4
128,4,6000,-16.66222816036092,-12.5,3,5
128,5,6000,-15.697918480768793,-12.5,3,5
128,6,6000,-14.911234785825865,-12.5,3,5
128,7,6000,-14.247235990141993,-12.5,3,6
128,8,6000,-13.673127455991125,-12.5,3,6
128,9,6000,-13.167756147803221,-12.5,3,6
128,10,6000,-12.716679030968006,-12.5,3,6
128,11,6000,-12.309594543166272,-12.5,3,6
128,12,6000,-11.9388964297144,-12.5,3,6
128,13,6000,-11.598808435352995,-12.5,3,6
128,14,6000,-11.28484059012375,-12.5,3,7
128,15,6000,-10.993433535057505,-12.5,3,7
128,16,6000,-10.721717872678047,-12.5,3,7
128,17,6000,-10.467346602817427,-12.5,3,7
128,18,6000,-10.228375527000255,-12.5,3,7
128,19,6000,-10.003176031702878,-12.5,3,7
128,20,6000,-9.79037026933012,-12.5,3,7
128,21,6000,-9.58878217061201,-12.5,3,7
128,22,6000,-9.397399863744907,-12.5,3,7
128,23,6000,-9.215346454355032,-12.5,3,7
128,24,6000,-9.0418570289698,-12.5,3,7
128,25,6000,-8.876260356149663,-12.5,3,7
128,26,6000,-8.717964178799944,-12.5,3,7
128,27,6000,-8.566443283786331,-12.5,3,7
128,28,6000,-8.421229742358776,-12.5,3,7
128,29,6000,-8.281904863995543,-12.5,3,8
128,30,6000,-8.148092514907283,-12.5,3,8
128,31,6000,-8.01945353255084,-12.5,3,8
128,32,6000,-7.8956810272496805,-12.5,3,8
128,33,6000,-7.776496407043167,-12.5,3,8
128,34,6000,-7.661645996155281,-12.5,3,8
128,35,6000,-7.550898143786121,-12.5,3,8
128,36,6000,-7.444040740312041,-12.5,3,8
128,37,6000,-7.340879073888118,-12.5,3,8
128,38,6000,-7.241233972964664,-12.5,3,8
128,39,6000,-7.144940190138027,-12.5,3,8
128,40,6000,-7.0518449906626675,-12.5,3,8
128,41,6000,-6.961806915291689,-12.5,3,8
128,42,6000,-6.874694692231614,-12.5,3,8
128,43,6000,-6.790386277152862,-12.5,3,8
128,44,6000,-6.708768003586441,-12.5,3,8
128,45,6000,-6.62973382881737,-12.5,3,8
128,46,6000,-6.553184662680466,-12.5,3,8
128,47,6000,-6.479027768553988,-12.5,3,8
128,1,6000,-22.6704498112135,-15.0,4,4
128,2,6000,-19.663949406147253,-15.0,4,5
128,3,6000,-17.907160554349634,-15.0,4,5
128,4,6000,-16.66222816036092,-15.0,4,6
128,5,6000,-15.697918480768793,-15.0,4,6
128,6,6000,-14.911234785825865,-15.0,4,6
128,7,6000,-14.247235990141993,-15.0,4,6
128,8,6000,-13.673127455991125,-15.0,4,7
128,9,6000,-13.167756147803221,-15.0,4,7
128,10,6000,-12.716679030968006,-15.0,4,7
128,11,6000,-12.309594543166272,-15.0,4,7
128,12,6000,-11.9388964297144,-15.0,4,7
128,13,6000,-11.598808435352995,-15.0,4,7
128,14,6000,-11.28484059012375,-15.0,4,7
128,15,6000,-10.993433535057505,-15.0,4,7
128,16,6000,-10.721717872678047,-15.0,4,8
128,17,6000,-10.467346602817427,-15.0,4,8
128,18,6000,-10.228375527000255,-15.0,4,8
128,19,6000,-10.003176031702878,-15.0,4,8
128,20,6000,-9.79037026933012,-15.0,4,8
128,21,6000,-9.58878217061201,-15.0,4,8
128,22,6000,-9.397399863744907,-15.0,4,8
128,23,6000,-9.215346454355032,-15.0,4,8
128,24,6000,-9.0418570289698,-15.0,4,8
128,25,6000,-8.876260356149663,-15.0,4,8
128,26,6000,-8.717964178799944,-15.0,4,8
128,27,6000,-8.566443283786331,-15.0,4,8
128,28,6000,-8.421229742358776,-15.0,4,8
128,29,6000,-8.281904863995543,-15.0,4,8
128,30,6000,-8.148092514907283,-15.0,4,8
128,31,6000,-8.01945353255084,-15.0,4,8
128,32,6000,-7.8956810272496805,-15.0,4,9
128,33,6000,-7.776496407043167,-15.0,3,9
128,34,6000,-7.661645996155281,-15.0,3,9
128,35,6000,-7.550898143786121,-15.0,3,9
128,36,6000,-7.444040740312041,-15.0,3,9
128,37,6000,-7.340879073888118,-15.0,3,9
128,38,6000,-7.241233972964664,-15.0,3,9
128,39,6000,-7.144940190138027,-15.0,3,9
128,40,6000,-7.0518449906626675,-15.0,3,9
128,41,6000,-6.961806915291689,-15.0,3,9
128,42,6000,-6.874694692231614,-15.0,3,9
128,43,6000,-6.790386277152862,-15.0,3,9
