model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
DenseNet121,Conv2D,3,7,7,64,"(None, 230, 230, 3)","(None, 112, 112, 64)","(7, 7, 3)",230,230,3,112,112,64
DenseNet121,MaxPooling2D,1,3,3,1,"(None, 114, 114, 64)","(None, 56, 56, 64)","(3, 3, 1)",114,114,64,56,56,64
DenseNet121,PointWiseConv,64,1,1,128,"(None, 56, 56, 64)","(None, 56, 56, 128)","(1, 1, 64)",56,56,64,56,56,128
DenseNet121,Conv2D,128,3,3,32,"(None, 56, 56, 128)","(None, 56, 56, 32)","(3, 3, 128)",56,56,128,56,56,32
DenseNet121,PointWiseConv,96,1,1,128,"(None, 56, 56, 96)","(None, 56, 56, 128)","(1, 1, 96)",56,56,96,56,56,128
DenseNet121,Conv2D,128,3,3,32,"(None, 56, 56, 128)","(None, 56, 56, 32)","(3, 3, 128)",56,56,128,56,56,32
DenseNet121,PointWiseConv,128,1,1,128,"(None, 56, 56, 128)","(None, 56, 56, 128)","(1, 1, 128)",56,56,128,56,56,128
DenseNet121,Conv2D,128,3,3,32,"(None, 56, 56, 128)","(None, 56, 56, 32)","(3, 3, 128)",56,56,128,56,56,32
DenseNet121,PointWiseConv,160,1,1,128,"(None, 56, 56, 160)","(None, 56, 56, 128)","(1, 1, 160)",56,56,160,56,56,128
DenseNet121,Conv2D,128,3,3,32,"(None, 56, 56, 128)","(None, 56, 56, 32)","(3, 3, 128)",56,56,128,56,56,32
DenseNet121,PointWiseConv,192,1,1,128,"(None, 56, 56, 192)","(None, 56, 56, 128)","(1, 1, 192)",56,56,192,56,56,128
DenseNet121,Conv2D,128,3,3,32,"(None, 56, 56, 128)","(None, 56, 56, 32)","(3, 3, 128)",56,56,128,56,56,32
DenseNet121,PointWiseConv,224,1,1,128,"(None, 56, 56, 224)","(None, 56, 56, 128)","(1, 1, 224)",56,56,224,56,56,128
DenseNet121,Conv2D,128,3,3,32,"(None, 56, 56, 128)","(None, 56, 56, 32)","(3, 3, 128)",56,56,128,56,56,32
DenseNet121,PointWiseConv,256,1,1,128,"(None, 56, 56, 256)","(None, 56, 56, 128)","(1, 1, 256)",56,56,256,56,56,128
DenseNet121,PointWiseConv,128,1,1,128,"(None, 28, 28, 128)","(None, 28, 28, 128)","(1, 1, 128)",28,28,128,28,28,128
DenseNet121,Conv2D,128,3,3,32,"(None, 28, 28, 128)","(None, 28, 28, 32)","(3, 3, 128)",28,28,128,28,28,32
DenseNet121,PointWiseConv,160,1,1,128,"(None, 28, 28, 160)","(None, 28, 28, 128)","(1, 1, 160)",28,28,160,28,28,128
DenseNet121,Conv2D,128,3,3,32,"(None, 28, 28, 128)","(None, 28, 28, 32)","(3, 3, 128)",28,28,128,28,28,32
DenseNet121,PointWiseConv,192,1,1,128,"(None, 28, 28, 192)","(None, 28, 28, 128)","(1, 1, 192)",28,28,192,28,28,128
DenseNet121,Conv2D,128,3,3,32,"(None, 28, 28, 128)","(None, 28, 28, 32)","(3, 3, 128)",28,28,128,28,28,32
DenseNet121,PointWiseConv,224,1,1,128,"(None, 28, 28, 224)","(None, 28, 28, 128)","(1, 1, 224)",28,28,224,28,28,128
DenseNet121,Conv2D,128,3,3,32,"(None, 28, 28, 128)","(None, 28, 28, 32)","(3, 3, 128)",28,28,128,28,28,32
DenseNet121,PointWiseConv,256,1,1,128,"(None, 28, 28, 256)","(None, 28, 28, 128)","(1, 1, 256)",28,28,256,28,28,128
