model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
EfficientNet_B7,Conv2D,3,3,3,64,"(None, 601, 601, 3)","(None, 300, 300, 64)","(3, 3, 3)",601,601,3,300,300,64
EfficientNet_B7,DepthWiseConv,1,3,3,64,"(None, 300, 300, 64)","(None, 300, 300, 64)","(3, 3, 1)",300,300,64,300,300,64
EfficientNet_B7,PointWiseConv,64,1,1,16,"(None, 1, 1, 64)","(None, 1, 1, 16)","(1, 1, 64)",1,1,64,1,1,16
EfficientNet_B7,PointWiseConv,16,1,1,64,"(None, 1, 1, 16)","(None, 1, 1, 64)","(1, 1, 16)",1,1,16,1,1,64
EfficientNet_B7,PointWiseConv,64,1,1,32,"(None, 300, 300, 64)","(None, 300, 300, 32)","(1, 1, 64)",300,300,64,300,300,32
EfficientNet_B7,DepthWiseConv,1,3,3,32,"(None, 300, 300, 32)","(None, 300, 300, 32)","(3, 3, 1)",300,300,32,300,300,32
EfficientNet_B7,PointWiseConv,32,1,1,8,"(None, 1, 1, 32)","(None, 1, 1, 8)","(1, 1, 32)",1,1,32,1,1,8
EfficientNet_B7,PointWiseConv,8,1,1,32,"(None, 1, 1, 8)","(None, 1, 1, 32)","(1, 1, 8)",1,1,8,1,1,32
EfficientNet_B7,PointWiseConv,32,1,1,32,"(None, 300, 300, 32)","(None, 300, 300, 32)","(1, 1, 32)",300,300,32,300,300,32
EfficientNet_B7,DepthWiseConv,1,3,3,32,"(None, 300, 300, 32)","(None, 300, 300, 32)","(3, 3, 1)",300,300,32,300,300,32
EfficientNet_B7,PointWiseConv,32,1,1,8,"(None, 1, 1, 32)","(None, 1, 1, 8)","(1, 1, 32)",1,1,32,1,1,8
EfficientNet_B7,PointWiseConv,8,1,1,32,"(None, 1, 1, 8)","(None, 1, 1, 32)","(1, 1, 8)",1,1,8,1,1,32
EfficientNet_B7,PointWiseConv,32,1,1,32,"(None, 300, 300, 32)","(None, 300, 300, 32)","(1, 1, 32)",300,300,32,300,300,32
