model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
GoogLeNet,Conv2D,3,7,7,64,"(None, 224, 224, 3)","(None, 109, 109, 64)","(7, 7, 3)",224,224,3,109,109,64
GoogLeNet,MaxPooling2D,1,3,3,1,"(None, 109, 109, 64)","(None, 54, 54, 64)","(3, 3, 1)",109,109,64,54,54,64
GoogLeNet,PointWiseConv,64,1,1,64,"(None, 54, 54, 64)","(None, 54, 54, 64)","(1, 1, 64)",54,54,64,54,54,64
GoogLeNet,Conv2D,64,3,3,192,"(None, 54, 54, 64)","(None, 54, 54, 192)","(3, 3, 64)",54,54,64,54,54,192
GoogLeNet,MaxPooling2D,1,3,3,1,"(None, 54, 54, 192)","(None, 26, 26, 192)","(3, 3, 1)",54,54,192,26,26,192
GoogLeNet,PointWiseConv,192,1,1,96,"(None, 26, 26, 192)","(None, 26, 26, 96)","(1, 1, 192)",26,26,192,26,26,96
GoogLeNet,PointWiseConv,192,1,1,16,"(None, 26, 26, 192)","(None, 26, 26, 16)","(1, 1, 192)",26,26,192,26,26,16
GoogLeNet,MaxPooling2D,1,3,3,1,"(None, 26, 26, 192)","(None, 26, 26, 192)","(3, 3, 1)",26,26,192,26,26,192
GoogLeNet,PointWiseConv,192,1,1,64,"(None, 26, 26, 192)","(None, 26, 26, 64)","(1, 1, 192)",26,26,192,26,26,64
GoogLeNet,Conv2D,96,3,3,128,"(None, 26, 26, 96)","(None, 26, 26, 128)","(3, 3, 96)",26,26,96,26,26,128
GoogLeNet,Conv2D,16,5,5,32,"(None, 26, 26, 16)","(None, 26, 26, 32)","(5, 5, 16)",26,26,16,26,26,32
GoogLeNet,PointWiseConv,192,1,1,32,"(None, 26, 26, 192)","(None, 26, 26, 32)","(1, 1, 192)",26,26,192,26,26,32
GoogLeNet,PointWiseConv,256,1,1,128,"(None, 26, 26, 256)","(None, 26, 26, 128)","(1, 1, 256)",26,26,256,26,26,128
GoogLeNet,PointWiseConv,256,1,1,32,"(None, 26, 26, 256)","(None, 26, 26, 32)","(1, 1, 256)",26,26,256,26,26,32
GoogLeNet,MaxPooling2D,1,3,3,1,"(None, 26, 26, 256)","(None, 26, 26, 256)","(3, 3, 1)",26,26,256,26,26,256
GoogLeNet,PointWiseConv,256,1,1,128,"(None, 26, 26, 256)","(None, 26, 26, 128)","(1, 1, 256)",26,26,256,26,26,128
GoogLeNet,Conv2D,128,3,3,192,"(None, 26, 26, 128)","(None, 26, 26, 192)","(3, 3, 128)",26,26,128,26,26,192
GoogLeNet,Conv2D,32,5,5,96,"(None, 26, 26, 32)","(None, 26, 26, 96)","(5, 5, 32)",26,26,32,26,26,96
GoogLeNet,PointWiseConv,256,1,1,64,"(None, 26, 26, 256)","(None, 26, 26, 64)","(1, 1, 256)",26,26,256,26,26,64
GoogLeNet,MaxPooling2D,1,3,3,1,"(None, 26, 26, 480)","(None, 12, 12, 480)","(3, 3, 1)",26,26,480,12,12,480
GoogLeNet,PointWiseConv,480,1,1,96,"(None, 12, 12, 480)","(None, 12, 12, 96)","(1, 1, 480)",12,12,480,12,12,96
GoogLeNet,PointWiseConv,480,1,1,16,"(None, 12, 12, 480)","(None, 12, 12, 16)","(1, 1, 480)",12,12,480,12,12,16
GoogLeNet,MaxPooling2D,1,3,3,1,"(None, 12, 12, 480)","(None, 12, 12, 480)","(3, 3, 1)",12,12,480,12,12,480
GoogLeNet,PointWiseConv,480,1,1,192,"(None, 12, 12, 480)","(None, 12, 12, 192)","(1, 1, 480)",12,12,480,12,12,192
GoogLeNet,Conv2D,96,3,3,208,"(None, 12, 12, 96)","(None, 12, 12, 208)","(3, 3, 96)",12,12,96,12,12,208
GoogLeNet,Conv2D,16,5,5,48,"(None, 12, 12, 16)","(None, 12, 12, 48)","(5, 5, 16)",12,12,16,12,12,48
GoogLeNet,PointWiseConv,480,1,1,64,"(None, 12, 12, 480)","(None, 12, 12, 64)","(1, 1, 480)",12,12,480,12,12,64
GoogLeNet,PointWiseConv,512,1,1,112,"(None, 12, 12, 512)","(None, 12, 12, 112)","(1, 1, 512)",12,12,512,12,12,112
GoogLeNet,PointWiseConv,512,1,1,24,"(None, 12, 12, 512)","(None, 12, 12, 24)","(1, 1, 512)",12,12,512,12,12,24
GoogLeNet,MaxPooling2D,1,3,3,1,"(None, 12, 12, 512)","(None, 12, 12, 512)","(3, 3, 1)",12,12,512,12,12,512
GoogLeNet,PointWiseConv,512,1,1,160,"(None, 12, 12, 512)","(None, 12, 12, 160)","(1, 1, 512)",12,12,512,12,12,160
GoogLeNet,Conv2D,112,3,3,224,"(None, 12, 12, 112)","(None, 12, 12, 224)","(3, 3, 112)",12,12,112,12,12,224
GoogLeNet,Conv2D,24,5,5,64,"(None, 12, 12, 24)","(None, 12, 12, 64)","(5, 5, 24)",12,12,24,12,12,64
GoogLeNet,PointWiseConv,512,1,1,64,"(None, 12, 12, 512)","(None, 12, 12, 64)","(1, 1, 512)",12,12,512,12,12,64
GoogLeNet,PointWiseConv,512,1,1,128,"(None, 12, 12, 512)","(None, 12, 12, 128)","(1, 1, 512)",12,12,512,12,12,128
GoogLeNet,PointWiseConv,512,1,1,24,"(None, 12, 12, 512)","(None, 12, 12, 24)","(1, 1, 512)",12,12,512,12,12,24
GoogLeNet,MaxPooling2D,1,3,3,1,"(None, 12, 12, 512)","(None, 12, 12, 512)","(3, 3, 1)",12,12,512,12,12,512
GoogLeNet,PointWiseConv,512,1,1,128,"(None, 12, 12, 512)","(None, 12, 12, 128)","(1, 1, 512)",12,12,512,12,12,128
GoogLeNet,Conv2D,128,3,3,256,"(None, 12, 12, 128)","(None, 12, 12, 256)","(3, 3, 128)",12,12,128,12,12,256
GoogLeNet,Conv2D,24,5,5,64,"(None, 12, 12, 24)","(None, 12, 12, 64)","(5, 5, 24)",12,12,24,12,12,64
GoogLeNet,PointWiseConv,512,1,1,64,"(None, 12, 12, 512)","(None, 12, 12, 64)","(1, 1, 512)",12,12,512,12,12,64
GoogLeNet,PointWiseConv,512,1,1,144,"(None, 12, 12, 512)","(None, 12, 12, 144)","(1, 1, 512)",12,12,512,12,12,144
GoogLeNet,PointWiseConv,512,1,1,32,"(None, 12, 12, 512)","(None, 12, 12, 32)","(1, 1, 512)",12,12,512,12,12,32
GoogLeNet,MaxPooling2D,1,3,3,1,"(None, 12, 12, 512)","(None, 12, 12, 512)","(3, 3, 1)",12,12,512,12,12,512
