model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
Inception_V3,Conv2D,3,3,3,32,"(None, 299, 299, 3)","(None, 149, 149, 32)","(3, 3, 3)",299,299,3,149,149,32
Inception_V3,Conv2D,32,3,3,32,"(None, 149, 149, 32)","(None, 147, 147, 32)","(3, 3, 32)",149,149,32,147,147,32
Inception_V3,Conv2D,32,3,3,64,"(None, 147, 147, 32)","(None, 147, 147, 64)","(3, 3, 32)",147,147,32,147,147,64
Inception_V3,MaxPooling2D,1,3,3,1,"(None, 147, 147, 64)","(None, 73, 73, 64)","(3, 3, 1)",147,147,64,73,73,64
Inception_V3,PointWiseConv,64,1,1,80,"(None, 73, 73, 64)","(None, 73, 73, 80)","(1, 1, 64)",73,73,64,73,73,80
Inception_V3,Conv2D,80,3,3,192,"(None, 73, 73, 80)","(None, 71, 71, 192)","(3, 3, 80)",73,73,80,71,71,192
Inception_V3,MaxPooling2D,1,3,3,1,"(None, 71, 71, 192)","(None, 35, 35, 192)","(3, 3, 1)",71,71,192,35,35,192
Inception_V3,PointWiseConv,192,1,1,64,"(None, 35, 35, 192)","(None, 35, 35, 64)","(1, 1, 192)",35,35,192,35,35,64
Inception_V3,PointWiseConv,192,1,1,48,"(None, 35, 35, 192)","(None, 35, 35, 48)","(1, 1, 192)",35,35,192,35,35,48
Inception_V3,Conv2D,64,3,3,96,"(None, 35, 35, 64)","(None, 35, 35, 96)","(3, 3, 64)",35,35,64,35,35,96
Inception_V3,PointWiseConv,192,1,1,64,"(None, 35, 35, 192)","(None, 35, 35, 64)","(1, 1, 192)",35,35,192,35,35,64
Inception_V3,Conv2D,48,5,5,64,"(None, 35, 35, 48)","(None, 35, 35, 64)","(5, 5, 48)",35,35,48,35,35,64
Inception_V3,Conv2D,96,3,3,96,"(None, 35, 35, 96)","(None, 35, 35, 96)","(3, 3, 96)",35,35,96,35,35,96
Inception_V3,PointWiseConv,192,1,1,32,"(None, 35, 35, 192)","(None, 35, 35, 32)","(1, 1, 192)",35,35,192,35,35,32
Inception_V3,PointWiseConv,256,1,1,64,"(None, 35, 35, 256)","(None, 35, 35, 64)","(1, 1, 256)",35,35,256,35,35,64
Inception_V3,PointWiseConv,256,1,1,48,"(None, 35, 35, 256)","(None, 35, 35, 48)","(1, 1, 256)",35,35,256,35,35,48
Inception_V3,Conv2D,64,3,3,96,"(None, 35, 35, 64)","(None, 35, 35, 96)","(3, 3, 64)",35,35,64,35,35,96
Inception_V3,PointWiseConv,256,1,1,64,"(None, 35, 35, 256)","(None, 35, 35, 64)","(1, 1, 256)",35,35,256,35,35,64
Inception_V3,Conv2D,48,5,5,64,"(None, 35, 35, 48)","(None, 35, 35, 64)","(5, 5, 48)",35,35,48,35,35,64
Inception_V3,Conv2D,96,3,3,96,"(None, 35, 35, 96)","(None, 35, 35, 96)","(3, 3, 96)",35,35,96,35,35,96
Inception_V3,PointWiseConv,256,1,1,64,"(None, 35, 35, 256)","(None, 35, 35, 64)","(1, 1, 256)",35,35,256,35,35,64
Inception_V3,PointWiseConv,288,1,1,64,"(None, 35, 35, 288)","(None, 35, 35, 64)","(1, 1, 288)",35,35,288,35,35,64
Inception_V3,PointWiseConv,288,1,1,48,"(None, 35, 35, 288)","(None, 35, 35, 48)","(1, 1, 288)",35,35,288,35,35,48
Inception_V3,Conv2D,64,3,3,96,"(None, 35, 35, 64)","(None, 35, 35, 96)","(3, 3, 64)",35,35,64,35,35,96
Inception_V3,PointWiseConv,288,1,1,64,"(None, 35, 35, 288)","(None, 35, 35, 64)","(1, 1, 288)",35,35,288,35,35,64
Inception_V3,Conv2D,48,5,5,64,"(None, 35, 35, 48)","(None, 35, 35, 64)","(5, 5, 48)",35,35,48,35,35,64
Inception_V3,Conv2D,96,3,3,96,"(None, 35, 35, 96)","(None, 35, 35, 96)","(3, 3, 96)",35,35,96,35,35,96
Inception_V3,PointWiseConv,288,1,1,64,"(None, 35, 35, 288)","(None, 35, 35, 64)","(1, 1, 288)",35,35,288,35,35,64
Inception_V3,PointWiseConv,288,1,1,64,"(None, 35, 35, 288)","(None, 35, 35, 64)","(1, 1, 288)",35,35,288,35,35,64
Inception_V3,Conv2D,64,3,3,96,"(None, 35, 35, 64)","(None, 35, 35, 96)","(3, 3, 64)",35,35,64,35,35,96
Inception_V3,Conv2D,288,3,3,384,"(None, 35, 35, 288)","(None, 17, 17, 384)","(3, 3, 288)",35,35,288,17,17,384
Inception_V3,Conv2D,96,3,3,96,"(None, 35, 35, 96)","(None, 17, 17, 96)","(3, 3, 96)",35,35,96,17,17,96
Inception_V3,MaxPooling2D,1,3,3,1,"(None, 35, 35, 288)","(None, 17, 17, 288)","(3, 3, 1)",35,35,288,17,17,288
Inception_V3,PointWiseConv,768,1,1,128,"(None, 17, 17, 768)","(None, 17, 17, 128)","(1, 1, 768)",17,17,768,17,17,128
Inception_V3,Conv2D,128,7,1,128,"(None, 17, 17, 128)","(None, 17, 17, 128)","(7, 1, 128)",17,17,128,17,17,128
Inception_V3,PointWiseConv,768,1,1,128,"(None, 17, 17, 768)","(None, 17, 17, 128)","(1, 1, 768)",17,17,768,17,17,128
Inception_V3,Conv2D,128,1,7,128,"(None, 17, 17, 128)","(None, 17, 17, 128)","(1, 7, 128)",17,17,128,17,17,128
Inception_V3,Conv2D,128,1,7,128,"(None, 17, 17, 128)","(None, 17, 17, 128)","(1, 7, 128)",17,17,128,17,17,128
Inception_V3,Conv2D,128,7,1,128,"(None, 17, 17, 128)","(None, 17, 17, 128)","(7, 1, 128)",17,17,128,17,17,128
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,Conv2D,128,7,1,192,"(None, 17, 17, 128)","(None, 17, 17, 192)","(7, 1, 128)",17,17,128,17,17,192
Inception_V3,Conv2D,128,1,7,192,"(None, 17, 17, 128)","(None, 17, 17, 192)","(1, 7, 128)",17,17,128,17,17,192
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,PointWiseConv,768,1,1,160,"(None, 17, 17, 768)","(None, 17, 17, 160)","(1, 1, 768)",17,17,768,17,17,160
Inception_V3,Conv2D,160,7,1,160,"(None, 17, 17, 160)","(None, 17, 17, 160)","(7, 1, 160)",17,17,160,17,17,160
Inception_V3,PointWiseConv,768,1,1,160,"(None, 17, 17, 768)","(None, 17, 17, 160)","(1, 1, 768)",17,17,768,17,17,160
Inception_V3,Conv2D,160,1,7,160,"(None, 17, 17, 160)","(None, 17, 17, 160)","(1, 7, 160)",17,17,160,17,17,160
Inception_V3,Conv2D,160,1,7,160,"(None, 17, 17, 160)","(None, 17, 17, 160)","(1, 7, 160)",17,17,160,17,17,160
Inception_V3,Conv2D,160,7,1,160,"(None, 17, 17, 160)","(None, 17, 17, 160)","(7, 1, 160)",17,17,160,17,17,160
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,Conv2D,160,7,1,192,"(None, 17, 17, 160)","(None, 17, 17, 192)","(7, 1, 160)",17,17,160,17,17,192
Inception_V3,Conv2D,160,1,7,192,"(None, 17, 17, 160)","(None, 17, 17, 192)","(1, 7, 160)",17,17,160,17,17,192
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,PointWiseConv,768,1,1,160,"(None, 17, 17, 768)","(None, 17, 17, 160)","(1, 1, 768)",17,17,768,17,17,160
Inception_V3,Conv2D,160,7,1,160,"(None, 17, 17, 160)","(None, 17, 17, 160)","(7, 1, 160)",17,17,160,17,17,160
Inception_V3,PointWiseConv,768,1,1,160,"(None, 17, 17, 768)","(None, 17, 17, 160)","(1, 1, 768)",17,17,768,17,17,160
Inception_V3,Conv2D,160,1,7,160,"(None, 17, 17, 160)","(None, 17, 17, 160)","(1, 7, 160)",17,17,160,17,17,160
Inception_V3,Conv2D,160,1,7,160,"(None, 17, 17, 160)","(None, 17, 17, 160)","(1, 7, 160)",17,17,160,17,17,160
Inception_V3,Conv2D,160,7,1,160,"(None, 17, 17, 160)","(None, 17, 17, 160)","(7, 1, 160)",17,17,160,17,17,160
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,Conv2D,160,7,1,192,"(None, 17, 17, 160)","(None, 17, 17, 192)","(7, 1, 160)",17,17,160,17,17,192
Inception_V3,Conv2D,160,1,7,192,"(None, 17, 17, 160)","(None, 17, 17, 192)","(1, 7, 160)",17,17,160,17,17,192
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,Conv2D,192,7,1,192,"(None, 17, 17, 192)","(None, 17, 17, 192)","(7, 1, 192)",17,17,192,17,17,192
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,Conv2D,192,1,7,192,"(None, 17, 17, 192)","(None, 17, 17, 192)","(1, 7, 192)",17,17,192,17,17,192
Inception_V3,Conv2D,192,1,7,192,"(None, 17, 17, 192)","(None, 17, 17, 192)","(1, 7, 192)",17,17,192,17,17,192
Inception_V3,Conv2D,192,7,1,192,"(None, 17, 17, 192)","(None, 17, 17, 192)","(7, 1, 192)",17,17,192,17,17,192
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,Conv2D,192,7,1,192,"(None, 17, 17, 192)","(None, 17, 17, 192)","(7, 1, 192)",17,17,192,17,17,192
Inception_V3,Conv2D,192,1,7,192,"(None, 17, 17, 192)","(None, 17, 17, 192)","(1, 7, 192)",17,17,192,17,17,192
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,Conv2D,192,1,7,192,"(None, 17, 17, 192)","(None, 17, 17, 192)","(1, 7, 192)",17,17,192,17,17,192
Inception_V3,PointWiseConv,768,1,1,192,"(None, 17, 17, 768)","(None, 17, 17, 192)","(1, 1, 768)",17,17,768,17,17,192
Inception_V3,Conv2D,192,7,1,192,"(None, 17, 17, 192)","(None, 17, 17, 192)","(7, 1, 192)",17,17,192,17,17,192
Inception_V3,Conv2D,192,3,3,320,"(None, 17, 17, 192)","(None, 8, 8, 320)","(3, 3, 192)",17,17,192,8,8,320
Inception_V3,Conv2D,192,3,3,192,"(None, 17, 17, 192)","(None, 8, 8, 192)","(3, 3, 192)",17,17,192,8,8,192
Inception_V3,MaxPooling2D,1,3,3,1,"(None, 17, 17, 768)","(None, 8, 8, 768)","(3, 3, 1)",17,17,768,8,8,768
Inception_V3,PointWiseConv,1280,1,1,448,"(None, 8, 8, 1280)","(None, 8, 8, 448)","(1, 1, 1280)",8,8,1280,8,8,448
Inception_V3,PointWiseConv,1280,1,1,384,"(None, 8, 8, 1280)","(None, 8, 8, 384)","(1, 1, 1280)",8,8,1280,8,8,384
Inception_V3,Conv2D,448,3,3,384,"(None, 8, 8, 448)","(None, 8, 8, 384)","(3, 3, 448)",8,8,448,8,8,384
Inception_V3,Conv2D,384,1,3,384,"(None, 8, 8, 384)","(None, 8, 8, 384)","(1, 3, 384)",8,8,384,8,8,384
Inception_V3,Conv2D,384,3,1,384,"(None, 8, 8, 384)","(None, 8, 8, 384)","(3, 1, 384)",8,8,384,8,8,384
Inception_V3,Conv2D,384,1,3,384,"(None, 8, 8, 384)","(None, 8, 8, 384)","(1, 3, 384)",8,8,384,8,8,384
Inception_V3,Conv2D,384,3,1,384,"(None, 8, 8, 384)","(None, 8, 8, 384)","(3, 1, 384)",8,8,384,8,8,384
Inception_V3,PointWiseConv,1280,1,1,320,"(None, 8, 8, 1280)","(None, 8, 8, 320)","(1, 1, 1280)",8,8,1280,8,8,320
Inception_V3,PointWiseConv,1280,1,1,192,"(None, 8, 8, 1280)","(None, 8, 8, 192)","(1, 1, 1280)",8,8,1280,8,8,192
Inception_V3,PointWiseConv,2048,1,1,448,"(None, 8, 8, 2048)","(None, 8, 8, 448)","(1, 1, 2048)",8,8,2048,8,8,448
Inception_V3,PointWiseConv,2048,1,1,384,"(None, 8, 8, 2048)","(None, 8, 8, 384)","(1, 1, 2048)",8,8,2048,8,8,384
Inception_V3,Conv2D,448,3,3,384,"(None, 8, 8, 448)","(None, 8, 8, 384)","(3, 3, 448)",8,8,448,8,8,384
Inception_V3,Conv2D,384,1,3,384,"(None, 8, 8, 384)","(None, 8, 8, 384)","(1, 3, 384)",8,8,384,8,8,384
Inception_V3,Conv2D,384,3,1,384,"(None, 8, 8, 384)","(None, 8, 8, 384)","(3, 1, 384)",8,8,384,8,8,384
Inception_V3,Conv2D,384,1,3,384,"(None, 8, 8, 384)","(None, 8, 8, 384)","(1, 3, 384)",8,8,384,8,8,384
Inception_V3,Conv2D,384,3,1,384,"(None, 8, 8, 384)","(None, 8, 8, 384)","(3, 1, 384)",8,8,384,8,8,384
Inception_V3,PointWiseConv,2048,1,1,320,"(None, 8, 8, 2048)","(None, 8, 8, 320)","(1, 1, 2048)",8,8,2048,8,8,320
Inception_V3,PointWiseConv,2048,1,1,192,"(None, 8, 8, 2048)","(None, 8, 8, 192)","(1, 1, 2048)",8,8,2048,8,8,192
Inception_V3,Dense,1,2048,1,1,"(None, 2048)","(None, 1000)","(2048, 1, 1)",8,8,2048,1000,1,1
