model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
MobileNet_V2,Conv2D,3,3,3,32,"(None, 224, 224, 3)","(None, 112, 112, 32)","(3, 3, 3)",224,224,3,112,112,32
MobileNet_V2,DepthWiseConv,1,3,3,32,"(None, 112, 112, 32)","(None, 112, 112, 32)","(3, 3, 1)",112,112,32,112,112,32
MobileNet_V2,PointWiseConv,32,1,1,16,"(None, 112, 112, 32)","(None, 112, 112, 16)","(1, 1, 32)",112,112,32,112,112,16
MobileNet_V2,PointWiseConv,16,1,1,96,"(None, 112, 112, 16)","(None, 112, 112, 96)","(1, 1, 16)",112,112,16,112,112,96
MobileNet_V2,DepthWiseConv,1,3,3,96,"(None, 113, 113, 96)","(None, 56, 56, 96)","(3, 3, 1)",113,113,96,56,56,96
MobileNet_V2,PointWiseConv,96,1,1,24,"(None, 56, 56, 96)","(None, 56, 56, 24)","(1, 1, 96)",56,56,96,56,56,24
MobileNet_V2,PointWiseConv,24,1,1,144,"(None, 56, 56, 24)","(None, 56, 56, 144)","(1, 1, 24)",56,56,24,56,56,144
MobileNet_V2,DepthWiseConv,1,3,3,144,"(None, 56, 56, 144)","(None, 56, 56, 144)","(3, 3, 1)",56,56,144,56,56,144
MobileNet_V2,PointWiseConv,144,1,1,24,"(None, 56, 56, 144)","(None, 56, 56, 24)","(1, 1, 144)",56,56,144,56,56,24
MobileNet_V2,PointWiseConv,24,1,1,144,"(None, 56, 56, 24)","(None, 56, 56, 144)","(1, 1, 24)",56,56,24,56,56,144
MobileNet_V2,DepthWiseConv,1,3,3,144,"(None, 57, 57, 144)","(None, 28, 28, 144)","(3, 3, 1)",57,57,144,28,28,144
MobileNet_V2,PointWiseConv,144,1,1,32,"(None, 28, 28, 144)","(None, 28, 28, 32)","(1, 1, 144)",28,28,144,28,28,32
MobileNet_V2,PointWiseConv,32,1,1,192,"(None, 28, 28, 32)","(None, 28, 28, 192)","(1, 1, 32)",28,28,32,28,28,192
MobileNet_V2,DepthWiseConv,1,3,3,192,"(None, 28, 28, 192)","(None, 28, 28, 192)","(3, 3, 1)",28,28,192,28,28,192
MobileNet_V2,PointWiseConv,192,1,1,32,"(None, 28, 28, 192)","(None, 28, 28, 32)","(1, 1, 192)",28,28,192,28,28,32
MobileNet_V2,PointWiseConv,32,1,1,192,"(None, 28, 28, 32)","(None, 28, 28, 192)","(1, 1, 32)",28,28,32,28,28,192
MobileNet_V2,DepthWiseConv,1,3,3,192,"(None, 28, 28, 192)","(None, 28, 28, 192)","(3, 3, 1)",28,28,192,28,28,192
MobileNet_V2,PointWiseConv,192,1,1,32,"(None, 28, 28, 192)","(None, 28, 28, 32)","(1, 1, 192)",28,28,192,28,28,32
