model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
NASNetMobile,Conv2D,3,3,3,32,"(None, 224, 224, 3)","(None, 111, 111, 32)","(3, 3, 3)",224,224,3,111,111,32
NASNetMobile,PointWiseConv,32,1,1,11,"(None, 111, 111, 32)","(None, 111, 111, 11)","(1, 1, 32)",111,111,32,111,111,11
NASNetMobile,DepthWiseConv,1,5,5,11,"(None, 115, 115, 11)",TBF,"(5, 5, 1)",115,115,11,56,56,11
NASNetMobile,PointWiseConv,11,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 11)",115,115,11,56,56,11
NASNetMobile,DepthWiseConv,1,7,7,32,"(None, 117, 117, 32)",TBF,"(7, 7, 1)",117,117,32,56,56,11
NASNetMobile,PointWiseConv,32,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 32)",117,117,32,56,56,11
NASNetMobile,DepthWiseConv,1,5,5,11,"(None, 56, 56, 11)",TBF,"(5, 5, 1)",56,56,11,56,56,11
NASNetMobile,PointWiseConv,11,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 11)",56,56,11,56,56,11
NASNetMobile,DepthWiseConv,1,7,7,11,"(None, 56, 56, 11)",TBF,"(7, 7, 1)",56,56,11,56,56,11
NASNetMobile,PointWiseConv,11,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 11)",56,56,11,56,56,11
NASNetMobile,DepthWiseConv,1,7,7,32,"(None, 117, 117, 32)",TBF,"(7, 7, 1)",117,117,32,56,56,11
NASNetMobile,PointWiseConv,32,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 32)",117,117,32,56,56,11
NASNetMobile,DepthWiseConv,1,5,5,32,"(None, 115, 115, 32)",TBF,"(5, 5, 1)",115,115,32,56,56,11
NASNetMobile,PointWiseConv,32,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 32)",115,115,32,56,56,11
NASNetMobile,DepthWiseConv,1,3,3,11,"(None, 56, 56, 11)",TBF,"(3, 3, 1)",56,56,11,56,56,11
NASNetMobile,PointWiseConv,11,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 11)",56,56,11,56,56,11
NASNetMobile,DepthWiseConv,1,7,7,11,"(None, 56, 56, 11)",TBF,"(7, 7, 1)",56,56,11,56,56,11
NASNetMobile,PointWiseConv,11,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 11)",56,56,11,56,56,11
NASNetMobile,MaxPooling2D,1,3,3,1,"(None, 113, 113, 11)","(None, 56, 56, 11)","(3, 3, 1)",113,113,11,56,56,11
NASNetMobile,DepthWiseConv,1,5,5,11,"(None, 56, 56, 11)",TBF,"(5, 5, 1)",56,56,11,56,56,11
NASNetMobile,PointWiseConv,11,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 11)",56,56,11,56,56,11
NASNetMobile,DepthWiseConv,1,3,3,11,"(None, 56, 56, 11)",TBF,"(3, 3, 1)",56,56,11,56,56,11
NASNetMobile,PointWiseConv,11,1,1,11,TBF,"(None, 56, 56, 11)","(1, 1, 11)",56,56,11,56,56,11
NASNetMobile,MaxPooling2D,1,3,3,1,"(None, 113, 113, 11)","(None, 56, 56, 11)","(3, 3, 1)",113,113,11,56,56,11
NASNetMobile,PointWiseConv,32,1,1,11,"(None, 56, 56, 32)","(None, 56, 56, 11)","(1, 1, 32)",56,56,32,56,56,11
NASNetMobile,PointWiseConv,32,1,1,11,"(None, 56, 56, 32)","(None, 56, 56, 11)","(1, 1, 32)",56,56,32,56,56,11
NASNetMobile,PointWiseConv,44,1,1,22,"(None, 56, 56, 44)","(None, 56, 56, 22)","(1, 1, 44)",56,56,44,56,56,22
NASNetMobile,DepthWiseConv,1,5,5,22,"(None, 59, 59, 22)",TBF,"(5, 5, 1)",59,59,22,28,28,22
NASNetMobile,PointWiseConv,22,1,1,22,TBF,"(None, 28, 28, 22)","(1, 1, 22)",59,59,22,28,28,22
NASNetMobile,DepthWiseConv,1,7,7,22,"(None, 61, 61, 22)",TBF,"(7, 7, 1)",61,61,22,28,28,22
NASNetMobile,PointWiseConv,22,1,1,22,TBF,"(None, 28, 28, 22)","(1, 1, 22)",61,61,22,28,28,22
NASNetMobile,DepthWiseConv,1,5,5,22,"(None, 28, 28, 22)",TBF,"(5, 5, 1)",28,28,22,28,28,22
NASNetMobile,PointWiseConv,22,1,1,22,TBF,"(None, 28, 28, 22)","(1, 1, 22)",28,28,22,28,28,22
NASNetMobile,DepthWiseConv,1,7,7,22,"(None, 28, 28, 22)",TBF,"(7, 7, 1)",28,28,22,28,28,22
NASNetMobile,PointWiseConv,22,1,1,22,TBF,"(None, 28, 28, 22)","(1, 1, 22)",28,28,22,28,28,22
NASNetMobile,DepthWiseConv,1,7,7,22,"(None, 61, 61, 22)",TBF,"(7, 7, 1)",61,61,22,28,28,22
NASNetMobile,PointWiseConv,22,1,1,22,TBF,"(None, 28, 28, 22)","(1, 1, 22)",61,61,22,28,28,22
NASNetMobile,DepthWiseConv,1,5,5,22,"(None, 59, 59, 22)",TBF,"(5, 5, 1)",59,59,22,28,28,22
NASNetMobile,PointWiseConv,22,1,1,22,TBF,"(None, 28, 28, 22)","(1, 1, 22)",59,59,22,28,28,22
NASNetMobile,DepthWiseConv,1,3,3,22,"(None, 28, 28, 22)",TBF,"(3, 3, 1)",28,28,22,28,28,22
NASNetMobile,PointWiseConv,22,1,1,22,TBF,"(None, 28, 28, 22)","(1, 1, 22)",28,28,22,28,28,22
NASNetMobile,DepthWiseConv,1,7,7,22,"(None, 28, 28, 22)",TBF,"(7, 7, 1)",28,28,22,28,28,22
NASNetMobile,PointWiseConv,22,1,1,22,TBF,"(None, 28, 28, 22)","(1, 1, 22)",28,28,22,28,28,22
NASNetMobile,MaxPooling2D,1,3,3,1,"(None, 57, 57, 22)","(None, 28, 28, 22)","(3, 3, 1)",57,57,22,28,28,22
NASNetMobile,DepthWiseConv,1,5,5,22,"(None, 28, 28, 22)",TBF,"(5, 5, 1)",28,28,22,28,28,22
NASNetMobile,PointWiseConv,22,1,1,22,TBF,"(None, 28, 28, 22)","(1, 1, 22)",28,28,22,28,28,22
NASNetMobile,DepthWiseConv,1,3,3,22,"(None, 28, 28, 22)",TBF,"(3, 3, 1)",28,28,22,28,28,22
