model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
ResNet50,Conv2D,3,7,7,64,"(None, 230, 230, 3)","(None, 112, 112, 64)","(7, 7, 3)",230,230,3,112,112,64
ResNet50,MaxPooling2D,1,3,3,1,"(None, 114, 114, 64)","(None, 56, 56, 64)","(3, 3, 1)",114,114,64,56,56,64
ResNet50,PointWiseConv,64,1,1,64,"(None, 56, 56, 64)","(None, 56, 56, 64)","(1, 1, 64)",56,56,64,56,56,64
ResNet50,Conv2D,64,3,3,64,"(None, 56, 56, 64)","(None, 56, 56, 64)","(3, 3, 64)",56,56,64,56,56,64
ResNet50,PointWiseConv,64,1,1,256,"(None, 56, 56, 64)","(None, 56, 56, 256)","(1, 1, 64)",56,56,64,56,56,256
ResNet50,PointWiseConv,64,1,1,256,"(None, 56, 56, 64)","(None, 56, 56, 256)","(1, 1, 64)",56,56,64,56,56,256
ResNet50,PointWiseConv,256,1,1,64,"(None, 56, 56, 256)","(None, 56, 56, 64)","(1, 1, 256)",56,56,256,56,56,64
ResNet50,Conv2D,64,3,3,64,"(None, 56, 56, 64)","(None, 56, 56, 64)","(3, 3, 64)",56,56,64,56,56,64
ResNet50,PointWiseConv,64,1,1,256,"(None, 56, 56, 64)","(None, 56, 56, 256)","(1, 1, 64)",56,56,64,56,56,256
ResNet50,PointWiseConv,256,1,1,64,"(None, 56, 56, 256)","(None, 56, 56, 64)","(1, 1, 256)",56,56,256,56,56,64
ResNet50,Conv2D,64,3,3,64,"(None, 56, 56, 64)","(None, 56, 56, 64)","(3, 3, 64)",56,56,64,56,56,64
ResNet50,PointWiseConv,64,1,1,256,"(None, 56, 56, 64)","(None, 56, 56, 256)","(1, 1, 64)",56,56,64,56,56,256
ResNet50,PointWiseConv,256,1,1,128,"(None, 56, 56, 256)","(None, 28, 28, 128)","(1, 1, 256)",56,56,256,28,28,128
ResNet50,Conv2D,128,3,3,128,"(None, 28, 28, 128)","(None, 28, 28, 128)","(3, 3, 128)",28,28,128,28,28,128
ResNet50,PointWiseConv,256,1,1,512,"(None, 56, 56, 256)","(None, 28, 28, 512)","(1, 1, 256)",56,56,256,28,28,512
ResNet50,PointWiseConv,128,1,1,512,"(None, 28, 28, 128)","(None, 28, 28, 512)","(1, 1, 128)",28,28,128,28,28,512
