model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
ShuffleNet_V2,Conv2D,3,3,3,24,"(None, 224, 224, 3)","(None, 112, 112, 24)","(3, 3, 3)",224,224,3,112,112,24
ShuffleNet_V2,MaxPooling2D,1,3,3,1,"(None, 112, 112, 24)","(None, 56, 56, 24)","(3, 3, 1)",112,112,24,56,56,24
ShuffleNet_V2,PointWiseConv,24,1,1,116,"(None, 56, 56, 24)","(None, 56, 56, 116)","(1, 1, 24)",56,56,24,56,56,116
ShuffleNet_V2,DepthWiseConv,1,3,3,116,"(None, 56, 56, 116)","(None, 28, 28, 116)","(3, 3, 1)",56,56,116,28,28,116
ShuffleNet_V2,DepthWiseConv,1,3,3,24,"(None, 56, 56, 24)","(None, 28, 28, 24)","(3, 3, 1)",56,56,24,28,28,24
ShuffleNet_V2,PointWiseConv,116,1,1,116,"(None, 28, 28, 116)","(None, 28, 28, 116)","(1, 1, 116)",28,28,116,28,28,116
ShuffleNet_V2,PointWiseConv,24,1,1,116,"(None, 28, 28, 24)","(None, 28, 28, 116)","(1, 1, 24)",28,28,24,28,28,116
ShuffleNet_V2,PointWiseConv,116,1,1,116,"(None, 28, 28, 116)","(None, 28, 28, 116)","(1, 1, 116)",28,28,116,28,28,116
ShuffleNet_V2,DepthWiseConv,1,3,3,116,"(None, 28, 28, 116)","(None, 28, 28, 116)","(3, 3, 1)",28,28,116,28,28,116
ShuffleNet_V2,PointWiseConv,116,1,1,116,"(None, 28, 28, 116)","(None, 28, 28, 116)","(1, 1, 116)",28,28,116,28,28,116
ShuffleNet_V2,PointWiseConv,116,1,1,116,"(None, 28, 28, 116)","(None, 28, 28, 116)","(1, 1, 116)",28,28,116,28,28,116
ShuffleNet_V2,DepthWiseConv,1,3,3,116,"(None, 28, 28, 116)","(None, 28, 28, 116)","(3, 3, 1)",28,28,116,28,28,116
ShuffleNet_V2,PointWiseConv,116,1,1,116,"(None, 28, 28, 116)","(None, 28, 28, 116)","(1, 1, 116)",28,28,116,28,28,116
ShuffleNet_V2,PointWiseConv,116,1,1,116,"(None, 28, 28, 116)","(None, 28, 28, 116)","(1, 1, 116)",28,28,116,28,28,116
ShuffleNet_V2,DepthWiseConv,1,3,3,116,"(None, 28, 28, 116)","(None, 28, 28, 116)","(3, 3, 1)",28,28,116,28,28,116
