model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
VGG16,Conv2D,3,3,3,64,"(None, 224, 224, 3)","(None, 224, 224, 64)","(3, 3, 3)",224,224,3,224,224,64
VGG16,Conv2D,64,3,3,64,"(None, 224, 224, 64)","(None, 224, 224, 64)","(3, 3, 64)",224,224,64,224,224,64
VGG16,MaxPooling2D,1,2,2,1,"(None, 224, 224, 64)","(None, 112, 112, 64)","(2, 2, 1)",224,224,64,112,112,64
VGG16,Conv2D,64,3,3,128,"(None, 112, 112, 64)","(None, 112, 112, 128)","(3, 3, 64)",112,112,64,112,112,128
VGG16,Conv2D,128,3,3,128,"(None, 112, 112, 128)","(None, 112, 112, 128)","(3, 3, 128)",112,112,128,112,112,128
VGG16,MaxPooling2D,1,2,2,1,"(None, 112, 112, 128)","(None, 56, 56, 128)","(2, 2, 1)",112,112,128,56,56,128
VGG16,Conv2D,128,3,3,256,"(None, 56, 56, 128)","(None, 56, 56, 256)","(3, 3, 128)",56,56,128,56,56,256
VGG16,Conv2D,256,3,3,256,"(None, 56, 56, 256)","(None, 56, 56, 256)","(3, 3, 256)",56,56,256,56,56,256
VGG16,Conv2D,256,3,3,256,"(None, 56, 56, 256)","(None, 56, 56, 256)","(3, 3, 256)",56,56,256,56,56,256
VGG16,MaxPooling2D,1,2,2,1,"(None, 56, 56, 256)","(None, 28, 28, 256)","(2, 2, 1)",56,56,256,28,28,256
VGG16,Conv2D,256,3,3,512,"(None, 28, 28, 256)","(None, 28, 28, 512)","(3, 3, 256)",28,28,256,28,28,512
VGG16,Conv2D,512,3,3,512,"(None, 28, 28, 512)","(None, 28, 28, 512)","(3, 3, 512)",28,28,512,28,28,512
VGG16,Conv2D,512,3,3,512,"(None, 28, 28, 512)","(None, 28, 28, 512)","(3, 3, 512)",28,28,512,28,28,512
VGG16,MaxPooling2D,1,2,2,1,"(None, 28, 28, 512)","(None, 14, 14, 512)","(2, 2, 1)",28,28,512,14,14,512
VGG16,Conv2D,512,3,3,512,"(None, 14, 14, 512)","(None, 14, 14, 512)","(3, 3, 512)",14,14,512,14,14,512
VGG16,Conv2D,512,3,3,512,"(None, 14, 14, 512)","(None, 14, 14, 512)","(3, 3, 512)",14,14,512,14,14,512
VGG16,Conv2D,512,3,3,512,"(None, 14, 14, 512)","(None, 14, 14, 512)","(3, 3, 512)",14,14,512,14,14,512
VGG16,MaxPooling2D,1,2,2,1,"(None, 14, 14, 512)","(None, 7, 7, 512)","(2, 2, 1)",14,14,512,7,7,512
VGG16,Dense,1,25088,1,1,"(None, 25088)","(None, 4096)","(25088, 1, 1)",14,14,512,4096,1,1
VGG16,Dense,1,4096,1,1,"(None, 4096)","(None, 4096)","(4096, 1, 1)",14,14,512,4096,1,1
VGG16,Dense,1,4096,1,1,"(None, 4096)","(None, 1000)","(4096, 1, 1)",14,14,512,1000,1,1
