model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
Xception,Conv2D,3,3,3,32,"(None, 299, 299, 3)","(None, 149, 149, 32)","(3, 3, 3)",299,299,3,149,149,32
Xception,Conv2D,32,3,3,64,"(None, 149, 149, 32)","(None, 147, 147, 64)","(3, 3, 32)",149,149,32,147,147,64
Xception,DepthWiseConv,1,3,3,64,"(None, 147, 147, 64)",TBF,"(3, 3, 1)",147,147,64,147,147,128
Xception,PointWiseConv,64,1,1,128,TBF,"(None, 147, 147, 128)","(1, 1, 64)",147,147,64,147,147,128
Xception,DepthWiseConv,1,3,3,128,"(None, 147, 147, 128)",TBF,"(3, 3, 1)",147,147,128,147,147,128
Xception,PointWiseConv,128,1,1,128,TBF,"(None, 147, 147, 128)","(1, 1, 128)",147,147,128,147,147,128
Xception,PointWiseConv,64,1,1,128,"(None, 147, 147, 64)","(None, 74, 74, 128)","(1, 1, 64)",147,147,64,74,74,128
Xception,MaxPooling2D,1,3,3,1,"(None, 147, 147, 128)","(None, 74, 74, 128)","(3, 3, 1)",147,147,128,74,74,128
Xception,DepthWiseConv,1,3,3,128,"(None, 74, 74, 128)",TBF,"(3, 3, 1)",74,74,128,74,74,256
Xception,PointWiseConv,128,1,1,256,TBF,"(None, 74, 74, 256)","(1, 1, 128)",74,74,128,74,74,256
Xception,DepthWiseConv,1,3,3,256,"(None, 74, 74, 256)",TBF,"(3, 3, 1)",74,74,256,74,74,256
Xception,PointWiseConv,256,1,1,256,TBF,"(None, 74, 74, 256)","(1, 1, 256)",74,74,256,74,74,256
Xception,PointWiseConv,128,1,1,256,"(None, 74, 74, 128)","(None, 37, 37, 256)","(1, 1, 128)",74,74,128,37,37,256
Xception,MaxPooling2D,1,3,3,1,"(None, 74, 74, 256)","(None, 37, 37, 256)","(3, 3, 1)",74,74,256,37,37,256
Xception,DepthWiseConv,1,3,3,256,"(None, 37, 37, 256)",TBF,"(3, 3, 1)",37,37,256,37,37,728
Xception,PointWiseConv,256,1,1,728,TBF,"(None, 37, 37, 728)","(1, 1, 256)",37,37,256,37,37,728
Xception,DepthWiseConv,1,3,3,728,"(None, 37, 37, 728)",TBF,"(3, 3, 1)",37,37,728,37,37,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 37, 37, 728)","(1, 1, 728)",37,37,728,37,37,728
Xception,PointWiseConv,256,1,1,728,"(None, 37, 37, 256)","(None, 19, 19, 728)","(1, 1, 256)",37,37,256,19,19,728
Xception,MaxPooling2D,1,3,3,1,"(None, 37, 37, 728)","(None, 19, 19, 728)","(3, 3, 1)",37,37,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,728
Xception,PointWiseConv,728,1,1,728,TBF,"(None, 19, 19, 728)","(1, 1, 728)",19,19,728,19,19,728
Xception,DepthWiseConv,1,3,3,728,"(None, 19, 19, 728)",TBF,"(3, 3, 1)",19,19,728,19,19,1024
Xception,PointWiseConv,728,1,1,1024,TBF,"(None, 19, 19, 1024)","(1, 1, 728)",19,19,728,19,19,1024
Xception,PointWiseConv,728,1,1,1024,"(None, 19, 19, 728)","(None, 10, 10, 1024)","(1, 1, 728)",19,19,728,10,10,1024
Xception,MaxPooling2D,1,3,3,1,"(None, 19, 19, 1024)","(None, 10, 10, 1024)","(3, 3, 1)",19,19,1024,10,10,1024
Xception,DepthWiseConv,1,3,3,1024,"(None, 10, 10, 1024)",TBF,"(3, 3, 1)",10,10,1024,10,10,1536
Xception,PointWiseConv,1024,1,1,1536,TBF,"(None, 10, 10, 1536)","(1, 1, 1024)",10,10,1024,10,10,1536
Xception,DepthWiseConv,1,3,3,1536,"(None, 10, 10, 1536)",TBF,"(3, 3, 1)",10,10,1536,10,10,2048
Xception,PointWiseConv,1536,1,1,2048,TBF,"(None, 10, 10, 2048)","(1, 1, 1536)",10,10,1536,10,10,2048
Xception,Dense,1,2048,1,1,"(None, 2048)","(None, 1000)","(2048, 1, 1)",10,10,1536,1000,1,1
