M,N,Q,Optical Recieved Power(dBm),SOMA (dBm),Products Supported Precision,Sum of Products Supported Precision
128,47,6000,-6.332963922691317,-10.0,2,7
128,46,6000,-6.409932788545624,-10.0,2,7
128,45,6000,-6.48929454345719,-10.0,2,7
128,44,6000,-6.571141907881952,-10.0,2,7
128,43,6000,-6.655573955918417,-10.0,2,7
128,42,6000,-6.742696714308114,-10.0,2,7
128,41,6000,-6.8326238336337175,-10.0,2,7
128,40,6000,-6.925477342419328,-10.0,2,7
128,39,6000,-7.021388496727209,-10.0,2,7
128,38,6000,-7.1204987401404685,-10.0,2,7
128,37,6000,-7.22296079180111,-10.0,2,7
128,36,6000,-7.328939883561922,-10.0,2,7
128,35,6000,-7.438615171466431,-10.0,2,7
128,34,6000,-7.552181351889579,-10.0,2,7
128,33,6000,-7.66985051901214,-10.0,2,7
128,32,6000,-7.791854308208473,-10.0,2,7
128,31,6000,-7.918446379835858,-10.0,2,7
128,30,6000,-8.049905310431534,-10.0,2,7
128,29,6000,-8.186537974231435,-10.0,2,7
128,28,6000,-8.328683518307185,-10.0,2,7
128,27,6000,-8.476718060930402,-10.0,2,7
128,26,6000,-8.631060277041925,-10.0,2,7
128,25,6000,-8.79217807972871,-10.0,2,7
128,24,6000,-8.960596666358269,-10.0,2,6
128,23,6000,-9.136908278130315,-10.0,2,6
128,22,6000,-9.321784130433217,-10.0,2,6
128,21,6000,-9.515989120499736,-10.0,2,6
128,20,6000,-9.720400126237415,-10.0,2,6
128,19,6000,-9.936029002712804,-10.0,2,6
128,18,6000,-10.164051802135178,-10.0,2,6
128,17,6000,-10.405846354652187,-10.0,2,6
128,16,6000,-10.66304125587644,-10.0,2,6
128,15,6000,-10.93758068581474,-10.0,2,6
128,14,6000,-11.231811625492048,-10.0,2,6
128,13,6000,-11.54860345241999,-10.0,2,6
128,12,6000,-11.891515504593022,-10.0,2,6
128,11,6000,-12.265037729739008,-10.0,2,5
128,10,6000,-12.674946359304588,-10.0,2,5
128,9,6000,-13.128847622133941,-10.0,2,5
128,8,6000,-13.63704305205897,-10.0,2,5
128,7,6000,-14.213975651658266,-10.0,2,5
128,6,6000,-14.880798419581227,-10.0,2,5
128,5,6000,-15.670305949629633,-10.0,2,4
128,4,6000,-16.637439272733893,-10.0,2,4
128,3,6000,-17.885195047262016,-10.0,2,4
128,2,6000,-19.644806915453202,-10.0,2,3
128,1,6000,-22.6541298112135,-10.0,2,2
128,47,6000,-6.332963922691317,-12.5,3,8
128,46,6000,-6.409932788545624,-12.5,3,8
128,45,6000,-6.48929454345719,-12.5,3,8
128,44,6000,-6.571141907881952,-12.5,3,8
128,43,6000,-6.655573955918417,-12.5,3,8
128,42,6000,-6.742696714308114,-12.5,3,8
128,41,6000,-6.8326238336337175,-12.5,3,8
128,40,6000,-6.925477342419328,-12.5,3,8
128,39,6000,-7.021388496727209,-12.5,3,8
128,38,6000,-7.1204987401404685,-12.5,3,8
128,37,6000,-7.22296079180111,-12.5,3,8
128,36,6000,-7.328939883561922,-12.5,3,8
128,35,6000,-7.438615171466431,-12.5,3,8
128,34,6000,-7.552181351889579,-12.5,3,8
128,33,6000,-7.66985051901214,-12.5,3,8
128,32,6000,-7.791854308208473,-12.5,3,8
128,31,6000,-7.918446379835858,-12.5,3,8
128,30,6000,-8.049905310431534,-12.5,3,8
128,29,6000,-8.186537974231435,-12.5,3,8
128,28,6000,-8.328683518307185,-12.5,3,8
128,27,6000,-8.476718060930402,-12.5,3,7
128,26,6000,-8.631060277041925,-12.5,3,7
128,25,6000,-8.79217807972871,-12.5,3,7
128,24,6000,-8.960596666358269,-12.5,3,7
128,23,6000,-9.136908278130315,-12.5,3,7
128,22,6000,-9.321784130433217,-12.5,3,7
128,21,6000,-9.515989120499736,-12.5,3,7
128,20,6000,-9.720400126237415,-12.5,3,7
128,19,6000,-9.936029002712804,-12.5,3,7
128,18,6000,-10.164051802135178,-12.5,3,7
128,17,6000,-10.405846354652187,-12.5,3,7
128,16,6000,-10.66304125587644,-12.5,3,7
128,15,6000,-10.93758068581474,-12.5,3,7
128,14,6000,-11.231811625492048,-12.5,3,7
128,13,6000,-11.54860345241999,-12.5,3,6
128,12,6000,-11.891515504593022,-12.5,3,6
128,11,6000,-12.265037729739008,-12.5,3,6
128,10,6000,-12.674946359304588,-12.5,3,6
128,9,6000,-13.128847622133941,-12.5,3,6
128,8,6000,-13.63704305205897,-12.5,3,6
128,7,6000,-14.213975651658266,-12.5,3,6
128,6,6000,-14.880798419581227,-12.5,3,5
128,5,6000,-15.670305949629633,-12.5,3,5
128,4,6000,-16.637439272733893,-12.5,3,5
128,3,6000,-17.885195047262016,-12.5,3,4
128,2,6000,-19.644806915453202,-12.5,3,4
128,1,6000,-22.6541298112135,-12.5,3,3
128,47,6000,-6.332963922691317,-15.0,3,9
128,46,6000,-6.409932788545624,-15.0,3,9
128,45,6000,-6.48929454345719,-15.0,3,9
128,44,6000,-6.571141907881952,-15.0,3,9
128,43,6000,-6.655573955918417,-15.0,3,9
128,42,6000,-6.742696714308114,-15.0,3,9
128,41,6000,-6.8326238336337175,-15.0,3,9
128,40,6000,-6.925477342419328,-15.0,4,9
128,39,6000,-7.021388496727209,-15.0,4,9
128,38,6000,-7.1204987401404685,-15.0,4,9
128,37,6000,-7.22296079180111,-15.0,4,9
128,36,6000,-7.328939883561922,-15.0,4,9
128,35,6000,-7.438615171466431,-15.0,4,9
