,Unnamed: 0,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,0,ANALOG_AMM,DenseNet121,"[{'element_size': 32, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.026782058,37.33843017,623.7923281,117319.0845,0.000265545,427.4983241,6.21E-07
1,1,ANALOG_AMM,GoogLeNet,"[{'element_size': 32, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.012168368,82.18028808,282.5791249,117319.0845,0.00058474,427.4983241,1.37E-06
2,2,ANALOG_AMM,Inception_V3,"[{'element_size': 32, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.94444158,0.079374997,12.59842563,1270.422863,117319.0845,9.45E-05,427.4983241,2.21E-07
3,3,ANALOG_AMM,ResNet50,"[{'element_size': 32, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.069558336,14.37642217,1071.249201,117319.0845,0.000108322,427.4983241,2.53E-07
4,4,ANALOG_AMM,VGG16,"[{'element_size': 32, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.9508804,0.533226706,1.875374937,6495.390712,117319.0845,1.45E-05,427.4983241,3.39E-08
5,5,ANALOG_AMM,VGG19,"[{'element_size': 32, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.96367133,0.733977723,1.36243917,8783.472264,117319.0845,1.00E-04,427.4983241,1.00E-07
6,6,ANALOG_MAM,DenseNet121,"[{'element_size': 40, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.010444011,95.74865313,315.9539043,123947.2456,0.00062094,489.883087,1.27E-06
7,7,ANALOG_MAM,GoogLeNet,"[{'element_size': 40, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.004004409,249.7247457,146.6191706,123947.2456,0.00155532,489.883087,3.17E-06
8,8,ANALOG_MAM,Inception_V3,"[{'element_size': 40, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.8642364,0.029306522,34.12209777,675.5024799,123947.2456,0.000232128,489.883087,4.74E-07
9,9,ANALOG_MAM,ResNet50,"[{'element_size': 40, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.016978197,58.89906953,443.1214603,123947.2456,0.000392538,489.883087,8.01E-07
10,10,ANALOG_MAM,VGG16,"[{'element_size': 40, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.75996259,0.271125814,3.688324564,1724.623286,123947.2456,2.83E-05,489.883087,5.78E-08
