,Unnamed: 0,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,0,ANALOG_AMM,DenseNet121,"[{'element_size': 32, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.05351695,18.68566875,1247.55412,465655.0582,3.82E-05,854.6453782,4.47E-08
1,1,ANALOG_AMM,GoogLeNet,"[{'element_size': 32, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.024115414,41.46725475,565.1537711,465655.0582,8.48E-05,854.6453782,9.92E-08
2,2,ANALOG_AMM,Inception_V3,"[{'element_size': 32, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.94444394,0.158604494,6.304991579,2540.839276,465655.0582,1.31E-05,854.6453782,1.53E-08
3,3,ANALOG_AMM,ResNet50,"[{'element_size': 32, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.13907475,7.19037783,2142.496367,465655.0582,1.49E-05,854.6453782,1.75E-08
4,4,ANALOG_AMM,VGG16,"[{'element_size': 32, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.9508804,1.066144241,0.937959388,12990.78102,465655.0582,1.96E-06,854.6453782,2.30E-09
5,5,ANALOG_AMM,VGG19,"[{'element_size': 32, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.96367133,1.467646103,0.681363169,17566.94412,465655.0582,2.00E-05,854.6453782,1.00E-08
6,6,ANALOG_MAM,DenseNet121,"[{'element_size': 40, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.020752972,48.18586921,630.9558342,491963.7593,9.22E-05,979.4149039,9.42E-08
7,7,ANALOG_MAM,GoogLeNet,"[{'element_size': 40, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.007753153,128.9797863,292.6143774,491963.7593,0.000243494,979.4149039,2.49E-07
8,8,ANALOG_MAM,Inception_V3,"[{'element_size': 40, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.86406488,0.058217104,17.17708239,1349.297971,491963.7593,3.33E-05,979.4149039,3.40E-08
9,9,ANALOG_MAM,ResNet50,"[{'element_size': 40, 'element_count': 128, 'units_count': 128, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.033807931,29.57885798,885.2909462,491963.7593,5.71E-05,979.4149039,5.83E-08
