,Unnamed: 0,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,0,ANALOG_AMM,DenseNet121,"[{'element_size': 32, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.040148346,24.90762607,935.65877,262609.9602,8.71E-05,641.0718511,1.36E-07
1,1,ANALOG_AMM,GoogLeNet,"[{'element_size': 32, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.018141851,55.12116617,423.8656337,262609.9602,0.000192749,641.0718511,3.01E-07
2,2,ANALOG_AMM,Inception_V3,"[{'element_size': 32, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.944443,0.118989333,8.404114685,1905.62598,262609.9602,3.02E-05,641.0718511,4.71E-08
3,3,ANALOG_AMM,ResNet50,"[{'element_size': 32, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.104316425,9.586218082,1606.871766,262609.9602,3.45E-05,641.0718511,5.38E-08
4,4,ANALOG_AMM,VGG16,"[{'element_size': 32, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.95088039,0.79968534,1.25049185,9743.085457,262609.9602,4.55E-06,641.0718511,7.10E-09
5,5,ANALOG_AMM,VGG19,"[{'element_size': 32, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.96367133,1.100811745,0.90842054,13175.20779,262609.9602,1.50E-05,641.0718511,1.00E-08
6,6,ANALOG_MAM,DenseNet121,"[{'element_size': 40, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.015599721,64.10370978,473.4220426,277446.8439,0.000208268,734.6489954,2.83E-07
7,7,ANALOG_MAM,GoogLeNet,"[{'element_size': 40, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.005878447,170.1129651,219.6188257,277446.8439,0.000540372,734.6489954,7.36E-07
8,8,ANALOG_MAM,Inception_V3,"[{'element_size': 40, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.86395743,0.043759387,22.85223971,1012.144495,277446.8439,7.60E-05,734.6489954,1.03E-07
9,9,ANALOG_MAM,ResNet50,"[{'element_size': 40, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.025419784,39.33943741,665.3058977,277446.8439,0.000129568,734.6489954,1.76E-07
10,10,ANALOG_MAM,VGG16,"[{'element_size': 40, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.75996259,0.406460244,2.460265216,2586.934929,277446.8439,8.67E-06,734.6489954,1.18E-08
11,11,ANALOG_MAM,VGG19,"[{'element_size': 40, 'element_count': 128, 'units_count': 96, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.8106908,0.560539555,1.783995423,3281.810502,277446.8439,2.00E-05,734.6489954,1.20E-08
12,,ANALOG_AMM,Gmean,NA,99.9764962,0.141299415,7.077170145,2319.902653,262609.9602,2.53E-05,641.0718511,3.95E-08
13,,ANALOG_MAM,Gmean,NA,99.90571951,0.053420483,18.71941156,916.9524656,277446.8439,6.27E-05,734.6489954,8.53E-08
14,0,SCONNA($BER^{-9}$),DenseNet121,"[{'element_size': 144, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'SCONNA($BER^{-9}$)', 'accelerator_type': 'SCONNA', 'precision': 8, 'bitrate': 30}]",98.19601822,0.00143419,697.2576126,642.875168,705160.4223,0.000604518,1754.869696,3.44E-07
15,1,SCONNA($BER^{-9}$),GoogLeNet,"[{'element_size': 144, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'SCONNA($BER^{-9}$)', 'accelerator_type': 'SCONNA', 'precision': 8, 'bitrate': 30}]",98.98813874,0.000839472,1191.224291,290.3600418,705160.4223,0.001133372,1754.869696,6.46E-07
16,2,SCONNA($BER^{-9}$),Inception_V3,"[{'element_size': 144, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'SCONNA($BER^{-9}$)', 'accelerator_type': 'SCONNA', 'precision': 8, 'bitrate': 30}]",98.1136029,0.004360909,229.309965,1212.176502,705160.4223,0.000233246,1754.869696,1.33E-07
17,3,SCONNA($BER^{-9}$),ResNet50,"[{'element_size': 144, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'SCONNA($BER^{-9}$)', 'accelerator_type': 'SCONNA', 'precision': 8, 'bitrate': 30}]",93.29351496,0.003232759,309.3332738,825.9098338,705160.4223,0.000322007,1754.869696,1.83E-07
18,4,SCONNA($BER^{-9}$),VGG16,"[{'element_size': 144, 'element_count': 128, 'units_count': 64, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'SCONNA($BER^{-9}$)', 'accelerator_type': 'SCONNA', 'precision': 8, 'bitrate': 30}]",97.6587607,0.025780379,38.78918885,3115.619808,705160.4223,4.70E-05,1754.869696,2.68E-08
