,name,Model_Name,Size,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,AMM,EfficientNet_B7,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",81.03715971,0.192866236,5.184940722,4508.879563,37589.7009,8.50E-05,324.3898946,2.62E-07
1,AMM,MobileNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",51.1622221,0.000408549,2447.689679,35.0934244,37589.7009,0.019821354,324.3898946,6.11E-05
2,AMM,NASNetMobile,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",69.45542646,0.000770299,1298.196459,67.48187157,37589.7009,0.010369443,324.3898946,3.20E-05
3,AMM,ResNet50,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",98.97736721,0.025827619,38.71824127,459.5943076,37589.7009,0.000699082,324.3898946,2.16E-06
4,AMM,ShuffleNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",83.49459385,0.000680278,1469.988279,51.49692998,37589.7009,0.012975494,324.3898946,4.00E-05
5,AMM,Xception,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",88.4781959,0.027926608,35.80814458,993.2155165,37589.7009,0.000489484,324.3898946,1.51E-06
,AMM,Average,large,,89.49757427,0.082206821,26.57044219,1987.229796,37589.7009,0.000424537,324.3898946,1.30872E-06
,AMM,Average,small,,68.03741414,0.000619708,1738.624806,51.35740865,37589.7009,0.014388763,324.3898946,4.43564E-05
6,HOLY_LIGHT,EfficientNet_B7,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",65.95395184,8.815940538,0.113430892,2161.373481,14341.31611,7.78E-06,324.0086412,2.40E-08
7,HOLY_LIGHT,MobileNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",36.62192743,0.034579015,28.91927381,20.61132399,14341.31611,0.001936034,324.0086412,5.98E-06
8,HOLY_LIGHT,NASNetMobile,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",49.72470051,0.014781846,67.65054808,38.69932885,14341.31611,0.003988983,324.0086412,1.23E-05
9,HOLY_LIGHT,ResNet50,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",95.18486024,0.361669968,2.764951718,218.9199315,14341.31611,0.000184988,324.0086412,5.71E-07
10,HOLY_LIGHT,ShuffleNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",73.28505806,0.038181972,26.19037064,32.65806363,14341.31611,0.001723431,324.0086412,5.32E-06
11,HOLY_LIGHT,Xception,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",79.03333101,1.075397406,0.929888797,465.6518863,14341.31611,6.29E-05,324.0086412,1.94E-07
,HOLY_LIGHT,Average,large,,80.05738103,3.417669304,1.269423803,948.6484329,14341.31611,8.52348E-05,324.0086412,2.63063E-07
,HOLY_LIGHT,Average,small,,53.210562,0.029180944,40.92006417,30.65623883,14341.31611,0.002549483,324.0086412,7.86856E-06
12,RAMM,EfficientNet_B7,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",78.89378348,0.192471888,5.19556394,4521.107072,27791.99985,0.000101314,316.0149383,3.21E-07
13,RAMM,MobileNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",64.66539649,0.000408621,2447.252969,35.44662098,27791.99985,0.021366139,316.0149383,6.76E-05
