name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
AMM,EfficientNet_B7.csv,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",81.03715971,0.196486201,5.08941591,4508.879563,1132.649698,0.000902134,151.5692948,5.95E-06
RAMM,EfficientNet_B7.csv,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",78.89378348,0.19374428,5.161442702,4521.107072,1898.670226,0.000803991,221.3158378,3.63E-06
HOLY_LIGHT,EfficientNet_B7.csv,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",65.99865382,0.044016,22.71901112,2090.07916,1471.098772,0.006379634,216.1228508,2.95E-05
CROSS_LIGHT,EfficientNet_B7.csv,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",98.91924279,8.397819458,0.11907853,6346.3034,178.9606553,1.82E-05,29.18397013,6.25E-07
RMAM,EfficientNet_B7.csv,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",59.39909801,0.040782288,24.52044875,2084.73178,2365.94288,0.005509378,315.6055203,1.75E-05
AMM,MobileNet_V2.csv,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",51.1622221,0.00053416,1872.099649,35.0934244,1132.649698,1.603177628,151.5692948,0.010577193
RAMM,MobileNet_V2.csv,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",64.66539649,0.000452324,2210.806872,35.44662098,1898.670226,1.143057554,221.3158378,0.005164825
HOLY_LIGHT,MobileNet_V2.csv,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",35.26051213,0.000287558,3477.558754,17.28213709,1471.098772,2.336470949,216.1228508,0.010810846
CROSS_LIGHT,MobileNet_V2.csv,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",98.40971459,0.037725217,26.50746862,43.90618853,178.9606553,0.118938592,29.18397013,0.004075477
RMAM,MobileNet_V2.csv,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",42.27863497,0.000192132,5204.765928,17.12542627,2365.94288,2.184060739,315.6055203,0.006920224
