,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,AMM,EfficientNet_B7,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",81.03715971,0.196486201,5.08941591,4508.879563,8488.654124,0.000161897,151.5692948,1.07E-06
1,AMM,MobileNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",51.1622221,0.00053416,1872.099649,35.0934244,8488.654124,0.025234861,151.5692948,0.000166491
2,AMM,NASNetMobile,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",69.45542646,0.000970009,1030.918196,67.48187157,8488.654124,0.013207258,151.5692948,8.71E-05
3,AMM,ResNet50,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",98.97736721,0.02610698,38.30393228,459.5943076,8488.654124,0.001467982,151.5692948,9.69E-06
4,AMM,ShuffleNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",83.49459385,0.000749525,1334.178745,51.49692998,8488.654124,0.01728328,151.5692948,0.000114029
5,AMM,Xception,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",88.4781959,0.028411645,35.19683589,993.2155165,8488.654124,0.000810115,151.5692948,5.34E-06
,AMM,Average,,78.76749421,0.042209753,719.2977957,1019.293602,8488.654124,0.009694232,151.5692948,6.39591E-05
6,HOLY_LIGHT,EfficientNet_B7,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",65.99865382,0.044016,11.35950556,2090.07916,6619.292839,0.000209958,216.1228508,9.71E-07
7,HOLY_LIGHT,MobileNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",35.26051213,0.000287558,1738.779377,17.28213709,6619.292839,0.026061256,216.1228508,0.000120585
8,HOLY_LIGHT,NASNetMobile,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",51.72347595,0.000459022,1089.271505,33.33805478,6619.292839,0.013745153,216.1228508,6.35988E-05
9,HOLY_LIGHT,ResNet50,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",94.95435646,0.005196811,96.21284136,204.2446689,6619.292839,0.002095172,216.1228508,9.69E-06
10,HOLY_LIGHT,ShuffleNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",73.31355582,0.000303494,1647.479064,26.38882654,6619.292839,0.017607034,216.1228508,8.14677E-05
11,HOLY_LIGHT,Xception,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",79.10554126,0.006644085,75.25490387,450.0214875,6619.292839,0.001012144,216.1228508,4.68E-06
