,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,AMM,EfficientNet_B7,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",81.03715971,0.196486201,5.08941591,4508.879563,8488.654124,0.000161897,151.5692948,1.07E-06
3,AMM,ResNet50,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",98.97736721,0.02610698,38.30393228,459.5943076,8488.654124,0.001467982,151.5692948,9.69E-06
5,AMM,Xception,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",88.4781959,0.028411645,35.19683589,993.2155165,8488.654124,0.000810115,151.5692948,5.34E-06
,AMM,Average,,89.49757427,0.083668275,26.19672803,1987.229796,8488.654124,0.000813331,151.5692948,5.37E-06
6,HOLY_LIGHT,EfficientNet_B7,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",65.99865382,0.044016,11.35950556,2090.07916,6619.292839,0.000209958,280.42,7.49E-07
9,HOLY_LIGHT,ResNet50,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",94.95435646,0.005196811,96.21284136,204.2446689,6619.292839,0.002095172,280.42,7.47E-06
11,HOLY_LIGHT,Xception,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",79.10554126,0.006644085,75.25490387,450.0214875,6619.292839,0.001012144,280.42,3.61E-06
,HOLY_LIGHT,Average,,80.01951718,0.018618966,60.94241693,914.7817721,6619.292839,0.001105758,216.1228508,5.12E-06
12,RAMM,EfficientNet_B7,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",78.89378348,0.19374428,5.161442702,4521.107072,13896.3637,0.00013863,221.3158378,6.26E-07
15,RAMM,ResNet50,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",83.01327572,0.02610698,38.30393228,459.5943076,13896.3637,0.001215973,221.3158378,5.49E-06
17,RAMM,Xception,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",83.20297592,0.027979424,35.74054965,994.9825844,13896.3637,0.00072265,221.3158378,3.27E-06
,RAMM,Average,,81.70334504,0.082610228,26.40197488,1991.894655,13896.3637,0.000692418,221.3158378,3.13E-06
30,RAMM_V2,EfficientNet_B7,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",82.43956415,0.19374428,5.161442702,4521.106669,12454.30782,0.000144216,201.7214182,7.15E-07
33,RAMM_V2,ResNet50,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",86.74420946,0.02610698,38.30393228,459.5943076,12454.30782,0.00127431,201.7214182,6.32E-06
35,RAMM_V2,Xception,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",86.94243551,0.027979424,35.74054965,994.9825844,12454.30782,0.000744354,201.7214182,3.69E-06
,RAMM_V2,Average,,85.37540304,0.082610228,26.40197488,1991.89452,12454.30782,0.00072096,201.7214182,3.57E-06
36,RAMM_V3,EfficientNet_B7,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",81.11466322,0.194626063,5.138058007,4516.41616,11372.7659,0.000148592,185.3050668,8.02E-07
39,RAMM_V3,ResNet50,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",89.77017026,0.02610698,38.30393228,459.5943076,11372.7659,0.001321872,185.3050668,7.13E-06
41,RAMM_V3,Xception,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",89.97531117,0.027979424,35.74054965,994.9825844,11372.7659,0.000761507,185.3050668,4.11E-06
,RAMM_V3,Average,,86.95338155,0.082904156,26.39417998,1990.331017,11372.7659,0.00074399,185.3050668,4.01E-06
18,RMAM,EfficientNet_B7,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",59.39909801,0.040782288,24.52044875,2084.73178,10646.88759,0.000396993,315.6055203,1.26E-06
21,RMAM,ResNet50,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",66.93503816,0.005196811,192.4256827,204.2446689,10646.88759,0.003852458,315.6055203,1.22E-05
23,RMAM,Xception,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",68.25524304,0.006154481,162.4832427,449.2182244,10646.88759,0.001942712,315.6055203,6.16E-06
,RMAM,Average,,64.8631264,0.01737786,126.4764581,912.7315577,10646.88759,0.002064054,315.6055203,6.54E-06
24,RMAM_V2,EfficientNet_B7,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",65.09000731,0.040782288,24.52044875,2084.731067,9453.526183,0.000404814,285.5154243,1.42E-06
27,RMAM_V2,ResNet50,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",73.34797595,0.005196811,192.4256827,204.2446689,9453.526183,0.003946753,285.5154243,1.38E-05
29,RMAM_V2,Xception,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",74.79466753,0.006154481,162.4832427,449.2182244,9453.526183,0.001970833,285.5154243,6.90E-06
,RMAM_V2,Average,,71.07755026,0.01737786,126.4764581,912.7313202,9453.526183,0.002107467,285.5154243,7.38E-06
42,RMAM_V3,EfficientNet_B7,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",63.12857606,0.041910796,23.86020059,2086.595132,8707.675303,0.000407907,264.9136863,1.54E-06
