,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
1,AMM,MobileNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",51.1622221,0.00053416,1872.099649,35.0934244,8488.654124,0.025234861,151.5692948,0.000166491
2,AMM,NASNetMobile,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",69.45542646,0.000970009,1030.918196,67.48187157,8488.654124,0.013207258,151.5692948,8.71E-05
4,AMM,ShuffleNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",83.49459385,0.000749525,1334.178745,51.49692998,8488.654124,0.01728328,151.5692948,0.000114029
,AMM,Average,,68.03741414,0.000751231,1412.398863,51.35740865,8488.654124,0.018575133,151.5692948,0.000122552
7,HOLY_LIGHT,MobileNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",35.26051213,0.000287558,1738.779377,17.28213709,6619.292839,0.026061256,280.42,9.29E-05
8,HOLY_LIGHT,NASNetMobile,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",51.72347595,0.000459022,1089.271505,33.33805478,6619.292839,0.013745153,280.42,4.90E-05
10,HOLY_LIGHT,ShuffleNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",73.31355582,0.000303494,1647.479064,26.38882654,6619.292839,0.017607034,280.42,6.28E-05
,HOLY_LIGHT,Average,,53.43251463,0.000350025,1491.843315,25.6696728,6619.292839,0.019137814,280.42,6.82E-05
13,RAMM,MobileNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",64.66539649,0.000452324,2210.806872,35.44662098,13896.3637,0.02396227,221.3158378,0.000108272
14,RAMM,NASNetMobile,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",71.38025746,0.000906832,1102.740086,67.78943203,13896.3637,0.012439188,221.3158378,5.62E-05
16,RAMM,ShuffleNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",77.9135881,0.000727434,1374.694725,51.59030369,13896.3637,0.01620772,221.3158378,7.32E-05
,RAMM,Average,,71.31974735,0.00069553,1562.747228,51.60878556,13896.3637,0.017536393,221.3158378,7.92E-05
31,RAMM_V2,MobileNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",58.44170403,0.000477662,2093.531552,35.32678499,12454.30782,0.024227311,201.7214182,0.000120103
32,RAMM_V2,NASNetMobile,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",74.58835892,0.000906832,1102.740086,67.78943203,12454.30782,0.012644879,201.7214182,6.27E-05
34,RAMM_V2,ShuffleNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",81.4153224,0.000727434,1374.694725,51.59030369,12454.30782,0.016488048,201.7214182,8.17E-05
,RAMM_V2,Average,,71.48179512,0.000703976,1523.655454,51.56884024,12454.30782,0.017786746,201.7214182,8.82E-05
37,RAMM_V3,MobileNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",60.48036813,0.000477662,2093.531552,35.32678499,11372.7659,0.024534386,185.3050668,0.0001324
38,RAMM_V3,NASNetMobile,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",71.13633914,0.000930117,1075.133051,67.65818301,11372.7659,0.012781808,185.3050668,6.90E-05
40,RAMM_V3,ShuffleNet_V2,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",84.25539178,0.000727434,1374.694725,51.59030369,11372.7659,0.016704742,185.3050668,9.01E-05
,RAMM_V3,Average,,71.95736635,0.000711738,1514.453109,51.52509056,11372.7659,0.018006979,185.3050668,9.72E-05
