name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow
MMA,GoogLeNet,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10}]",0.005745809,0.001685044,59345.6419,318.9179158,86898.08112,0.021489433,20769.10739,1.03E-06,4.53711E+11,2682543,4.53714E+11,Output-Stationary
MMA,GoogLeNet,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.005745809,0.01420806,7038.258814,315.8765211,86898.08112,0.006449409,25532.85089,2.53E-07,2.28424E+11,1354991,2.28425E+11,Weight-Stationary
AMM_WS_PCA,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 187, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.002291171,0.04360337,2293.40069,790.6544886,194401.2578,0.001079074,24133.5198,4.47E-08,2.33476E+11,3707131,2.3348E+11,Weight-Stationary
AMM_OS_PCA,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 187, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.002291171,0.04360337,2293.40069,802.290613,194401.2578,0.001077721,24133.5198,4.47E-08,4.63936E+11,7331515,4.63944E+11,Output-Stationary
MAM_WS_PCA,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.003345977,0.35966828,278.0339707,551.3594435,443280.439,6.25E-05,29374.21734,2.13E-09,2.31187E+11,2587599,2.31189E+11,Weight-Stationary
MAM_OS_PCA,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.003345977,0.35966828,278.0339707,563.6848495,443280.439,6.25E-05,29374.21734,2.13E-09,4.59432E+11,5120783,4.59438E+11,Output-Stationary
MAM_WS,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000435241,22.97576255,84.36729813,443280.439,3.61E-05,29374.21734,1.23E-09,1411910928,16559661,1459876845,Weight-Stationary-No-PCA
MAM_OS,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000435241,22.97576255,84.43934245,443280.439,3.61E-05,29374.21734,1.23E-09,2746065048,16559661,2794030965,Output-Stationary-No-PCA
AMM_WS,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000519717,19.24125942,251.6635051,190276.2992,2.85E-05,23875.41105,1.19E-09,1412191690,38646367,1524731197,Weight-Stationary-No-PCA
AMM_OS,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000519717,19.24125942,251.7279052,190276.2992,2.85E-05,23875.41105,1.19E-09,2701483990,38646367,2814023497,Output-Stationary-No-PCA
MMA,MobileNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10}]",0.001292648,0.000351832,284226.3203,138.9842142,86898.08112,0.058976951,20769.10739,2.84E-06,1.27552E+11,755690,1.27553E+11,Output-Stationary
MMA,MobileNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.001292648,0.001983193,50423.73586,138.1358353,86898.08112,0.032209075,25532.85089,1.26E-06,64709575686,435162,64710010848,Weight-Stationary
AMM_WS_PCA,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 187, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.000511702,0.007214067,13861.80638,351.2810433,194401.2578,0.005702214,24133.5198,2.36E-07,91693063498,1492314,91694555812,Weight-Stationary
AMM_OS_PCA,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 187, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.000511702,0.007214067,13861.80638,355.7810504,194401.2578,0.00568762,24133.5198,2.36E-07,1.80818E+11,2923418,1.80821E+11,Output-Stationary
MAM_WS_PCA,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.000716893,0.049556236,2017.909496,252.3225899,443280.439,4.50E-04,29374.21734,1.53E-08,83124370912,1016190,83125387102,Weight-Stationary
MAM_OS_PCA,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.000716893,0.049556236,2017.909496,256.6807644,443280.439,4.50E-04,29374.21734,1.53E-08,1.6383E+11,1887478,1.63832E+11,Output-Stationary
MAM_WS,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",70.31598181,9.23E-06,1082.868465,18.25903316,443280.439,0.000447375,29374.21734,1.52E-08,253188480,1211016,256553256,Weight-Stationary-No-PCA
MAM_OS,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",70.31598181,9.23E-06,1082.868465,18.27204211,443280.439,0.000447115,29374.21734,1.52E-08,494095120,1211016,497459896,Output-Stationary-No-PCA
AMM_WS,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",83.32157185,2.16E-05,463.0487127,39.45437646,190276.2992,0.00022955,23875.41105,9.61E-09,291902104,3712920,302374752,Weight-Stationary-No-PCA
AMM_OS,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",83.32157185,2.16E-05,463.0487127,39.46788742,190276.2992,0.000229478,23875.41105,9.61E-09,562391704,3712920,572864352,Output-Stationary-No-PCA
MMA,ResNet50,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10}]",0.000408534,0.005451539,18343.44461,3754.6111,86898.08112,0.002364995,20769.10739,1.14E-07,5.72211E+12,33773466,5.72215E+12,Output-Stationary
MMA,ResNet50,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.000408534,0.051772098,1931.542353,3716.260121,86898.08112,0.001217262,25532.85089,4.77E-08,2.88132E+12,17107738,2.88134E+12,Weight-Stationary
AMM_WS_PCA,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 187, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.000155861,0.154071276,649.0502487,9588.989712,194401.2578,2.53E-04,24133.5198,1.05E-08,2.90611E+12,46348290,2.90615E+12,Weight-Stationary
AMM_OS_PCA,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 187, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.000155861,0.154071276,649.0502487,9733.736106,194401.2578,2.52E-04,24133.5198,1.04E-08,5.7729E+12,91232514,5.77299E+12,Output-Stationary
MAM_WS_PCA,ResNet50,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.000222826,1.203049192,83.12212061,6713.294104,443280.439,1.85E-05,29374.21734,6.30E-10,2.73245E+12,30620590,2.73248E+12,Weight-Stationary
MAM_OS_PCA,ResNet50,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.000222826,1.203049192,83.12212061,6858.790104,443280.439,1.85E-05,29374.21734,6.30E-10,5.42679E+12,60670382,5.42685E+12,Output-Stationary
MAM_WS,ResNet50,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000715775,13.97086652,364.1157337,443280.439,1.47E-05,29374.21734,5.00E-10,4218208720,57513344,4386068864,Weight-Stationary-No-PCA
MAM_OS,ResNet50,"[{'element_size': 44, 'element_count': 44, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000715775,13.97086652,364.3305464,443280.439,1.47E-05,29374.21734,4.99E-10,8196220248,57513344,8364080392,Output-Stationary-No-PCA
AMM_WS,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000875156,11.42653424,793.5491826,190276.2992,1.04E-05,23875.41105,4.36E-10,4344289784,104721952,4650233352,Weight-Stationary-No-PCA
AMM_OS,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 185, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",100,0.000875156,11.42653424,793.7479061,190276.2992,1.04E-05,23875.41105,4.36E-10,8322738824,104721952,8628682392,Output-Stationary-No-PCA
MMA,ShuffleNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10}]",0.002534316,0.00060295,165851.3415,226.1897077,86898.08112,0.035895704,20769.10739,1.73E-06,3.04356E+11,1803266,3.04358E+11,Output-Stationary
MMA,ShuffleNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'MMA', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.002534316,0.004537386,22039.1212,224.1629158,86898.08112,0.016169376,25532.85089,6.33E-07,1.54224E+11,937218,1.54225E+11,Weight-Stationary
AMM_WS_PCA,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 187, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1}]",0.001013168,0.013716479,7290.500718,567.2096658,194401.2578,0.003092423,24133.5198,1.28E-07,1.60923E+11,2567205,1.60926E+11,Weight-Stationary
