Unnamed: 0,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
0,AMW_1,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",2.971420016330798e-05,5.818461503999929,0.1718667381940303,102852.64355190984,215689.5539956582,7.364670441462953e-07,25424.0635746964,2.8967322315826527e-11,59383835834112,938433920,59384774268032,Input-Stationary,1,128
1,AMW_1,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",1.6721473570275212e-06,20.64534604800001,0.0484370665270041,1247907.8325943074,215689.5539956582,1.754111057619659e-07,25424.0635746964,6.899412646865227e-12,738930761007616,11677761792,738942438769408,Input-Stationary,1,128
2,AMW_1,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",8.369874956785532e-06,1.887715968000125,0.529740711500902,73726.28865626546,215689.5539956582,2.079491023696845e-06,25424.0635746964,8.179223661816529e-11,40675389203712,649839232,40676039042944,Input-Stationary,1,128
3,AMW_1,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",4.356945776277216e-06,0.9862359040000106,1.0139561903436738,45602.35363344857,215689.5539956582,3.871120550272627e-06,25424.0635746964,1.5226207010139034e-10,23144746633472,374197504,23145120830976,Input-Stationary,1,128
4,AMW_5,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",1.7208051042169886e-05,2.79939833599995,0.3572196164940557,173980.29709884388,818448.9092037656,4.056556820858222e-07,41986.2581384768,9.661629782485275e-12,52507728412672,1607937920,52509336350592,Input-Stationary,5,128
5,AMW_5,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",8.836436964819391e-07,9.744702668800148,0.1026198575767452,2388028.1684216624,818448.9092037656,9.649185118714517e-08,41986.2581384768,2.2981769623027845e-12,722505027289088,22102916864,722527130205952,Input-Stationary,5,128
6,AMW_5,ShuffleNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",4.379965944477728e-06,1.0702763776000046,0.9343381026893326,144799.3223679474,818448.9092037656,9.796565921206236e-07,41986.2581384768,2.3332791145368883e-11,42489704611840,1314382976,42491018994816,Input-Stationary,5,128
7,AMW_5,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",2.294141467437e-06,0.627451929600022,1.5937475889785917,85235.6111633508,818448.9092037656,1.6700821000131711e-06,41986.2581384768,3.977687400732394e-11,24041711730688,759658240,24042471388928,Input-Stationary,5,128
8,AMW_10,GoogLeNet,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",1.2644864870214463e-05,2.1952896767999435,0.4555207499803361,243033.8647761057,1427215.4958640046,2.961922727438185e-07,22251.065426544,1.331137485176244e-11,53912735207424,2202112128,53914937319552,Input-Stationary,10,128
9,AMW_10,ResNet50,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",6.591484653912585e-07,7.673817728000034,0.1303132333142635,3274776.80575446,1427215.4958640046,7.028904354876178e-08,22251.065426544,3.158906874855159e-12,721343010078720,29572600832,721372582679552,Input-Stationary,10,128
