Unnamed: 0,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
0,AMW_1,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",2.971420016330798e-05,5.581231423999966,0.1791719289223306,101283.5712968789,215689.5539956582,7.66226637487287e-07,25424.0635746964,3.013785090790456e-11,29884915377920,474512768,29885389890688,Weight-Stationary,1,128
1,AMW_1,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",1.6721473570275212e-06,19.72112332800041,0.0507070506769856,1228389.5166757768,215689.5539956582,1.824141849587593e-07,25424.0635746964,7.1748634683367136e-12,371981892190720,5932581120,371987824771840,Weight-Stationary,1,128
2,AMW_1,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",8.369874956785532e-06,1.7557093119999472,0.5695703686055463,72658.36328940281,215689.5539956582,2.21559256985814e-06,25424.0635746964,8.71454936127219e-11,20598151372032,328602240,20598479974272,Weight-Stationary,1,128
3,AMW_1,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",4.356945776277216e-06,0.9234005760000276,1.0829536238019093,44995.55053467491,215689.5539956582,4.095617784730124e-06,25424.0635746964,1.6109217838828632e-10,11736712127744,191016192,11736903143936,Weight-Stationary,1,128
4,AMW_5,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",1.7208051042169886e-05,2.320766656000001,0.4308920922379883,168812.60518491772,818448.9092037656,4.835025208913573e-07,41986.2581384768,1.1515732583186992e-11,26432774864896,812601216,26433587466112,Weight-Stationary,5,128
5,AMW_5,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",8.836436964819391e-07,7.902159308799687,0.1265476891723025,2316926.6572554195,818448.9092037656,1.1383764510069385e-07,41986.2581384768,2.711307226408238e-12,363743531761664,11213913856,363754745675520,Weight-Stationary,5,128
6,AMW_5,ShuffleNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",4.379965944477728e-06,0.7802189311999788,1.2816915355565617,140642.07137248135,818448.9092037656,1.2833487730757218e-06,41986.2581384768,3.0565923946903067e-11,21513199157248,672822400,21513871979648,Weight-Stationary,5,128
7,AMW_5,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",2.294141467437e-06,0.4793516543999828,2.0861511394004197,82885.92240781116,818448.9092037656,2.104329451072814e-06,41986.2581384768,5.0119480619883504e-11,12185746538496,388411136,12186134949632,Weight-Stationary,5,128
8,AMW_10,GoogLeNet,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",1.2644864870214463e-05,1.5559322367999795,0.6427015112538949,233780.0190367073,1427215.4958640046,4.074264689749978e-07,22251.065426544,1.8310425193796148e-11,27137651134464,1112170624,27138763305088,Weight-Stationary,10,128
9,AMW_10,ResNet50,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",6.591484653912585e-07,5.220097408000032,0.1915673064773572,3150982.5196620207,1427215.4958640046,9.432906463599133e-08,22251.065426544,4.239305526622703e-12,363156536328192,14987056128,363171523384320,Weight-Stationary,10,128
10,AMW_10,ShuffleNet_V2,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",3.2726127981623625e-06,0.5398151295999974,1.852486055255619,189177.7416506541,1427215.4958640046,1.0420897339120754e-06,22251.065426544,4.683325107969588e-11,21525963190272,899049856,21526862240128,Weight-Stationary,10,128
11,AMW_10,MobileNet_V2,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",1.7185902578052944e-06,0.3348842239999944,2.9861066253154305,112078.02201958196,1427215.4958640046,1.6948291459067028e-06,22251.065426544,7.616844916939966e-11,12073592586240,515714048,12074108300288,Weight-Stationary,10,128
12,MAW_1,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",4.333328023209318e-05,46.03753982225536,0.0217214039642618,70357.8115931405,331933.1526098881,6.513918091362988e-08,25408.745417609,2.563651996311732e-12,29591895674880,331212672,29592226887552,Weight-Stationary,1,128
13,MAW_1,ResNet50,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",2.385073760853148e-06,153.99029651572693,0.0064939156727831,856748.335187705,331933.1526098881,1.9241413829193556e-08,25408.745417609,7.572752417700519e-13,349753706356736,3919435520,349757625792256,Weight-Stationary,1,128
14,MAW_1,ShuffleNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",1.1415965585659542e-05,14.321874731833343,0.0698232611808349,53492.22201834721,331933.1526098881,2.080127660279597e-07,25408.745417609,8.186660246664552e-12,21683660427264,246400384,21683906827648,Weight-Stationary,1,128
15,MAW_1,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",6.101719338104855e-06,6.343198259192272,0.157649179347476,32219.652829168444,331933.1526098881,4.6778429251905356e-07,25408.745417609,1.8410365597778208e-11,10639919476736,130072320,10640049549056,Weight-Stationary,1,128
16,MAW_5,GoogLeNet,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",2.2580979828215984e-05,92.9670229873346,0.0107565023367074,128927.56636881098,1278845.6822118813,8.401991360885587e-09,55604.42044152229,1.5110293919386754e-13,26944409417728,602025088,26945011442816,Weight-Stationary,5,128
17,MAW_5,ResNet50,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",1.1995550401893757e-06,318.16881601767415,0.0031429855776452,1725252.128696375,1278845.6822118813,2.447297037920062e-09,55604.42044152229,4.401263457990394e-14,358591964780544,8062332416,358600027112960,Weight-Stationary,5,128
18,MAW_5,ShuffleNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",5.859171544148752e-06,32.40880671642711,0.030855810544025,105601.20600618196,1278845.6822118813,2.406654086206146e-08,55604.42044152229,4.328170435185384e-13,21914731970560,502574848,21915234545408,Weight-Stationary,5,128
