,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
0,AMW_1,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.002291171,0.04360337,22.9340069,803.5432606,215689.554,9.80E-05,25424.06357,3.85E-09,4.64E+11,7331515,4.64E+11,Output-Stationary,1,1
1,AMW_1,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000155861,0.154071276,6.490502487,9749.323173,215689.554,2.33E-05,25424.06357,9.15E-10,5.77E+12,91232514,5.77E+12,Output-Stationary,1,1
2,AMW_1,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.001013168,0.013716479,72.90500718,575.987332,215689.554,0.000282926,25424.06357,1.11E-08,3.18E+11,5076869,3.18E+11,Output-Stationary,1,1
3,AMW_1,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000511702,0.007214067,138.6180638,356.2692678,215689.554,0.000522939,25424.06357,2.06E-08,1.81E+11,2923418,1.81E+11,Output-Stationary,1,1
4,AMW_5,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.00133403,0.018130989,55.15418781,1359.240788,818448.9092,6.17E-05,41986.25814,1.47E-09,4.10E+11,12562015,4.10E+11,Output-Stationary,5,1
5,AMW_5,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",8.27E-05,0.06173562,16.19810421,18656.62377,818448.9092,1.45E-05,41986.25814,3.44E-10,5.64E+12,172679038,5.64E+12,Output-Stationary,5,1
6,AMW_5,ShuffleNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000528831,0.00609546,164.0565166,1131.251874,818448.9092,0.000163397,41986.25814,3.89E-09,3.32E+11,10268617,3.32E+11,Output-Stationary,5,1
7,AMW_5,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000276547,0.003744935,267.0273458,665.9062497,818448.9092,0.000268029,41986.25814,6.38E-09,1.88E+11,5934830,1.88E+11,Output-Stationary,5,1
8,AMW_10,GoogLeNet,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000979402,0.012155721,82.26579344,1898.734309,1427215.496,5.20E-05,22251.06543,2.33E-09,4.21E+11,17204001,4.21E+11,Output-Stationary,10,1
9,AMW_10,ResNet50,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",6.17E-05,0.040782011,24.52061523,25584.48961,1427215.496,1.19E-05,22251.06543,5.36E-10,5.64E+12,231035944,5.64E+12,Output-Stationary,10,1
