Unnamed: 0,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
0,AMW_1,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",1.4895807613533734e-05,11.162462847999528,0.0895859644611685,205705.2032145185,215689.5539956582,3.826532804117091e-07,25424.0635746964,1.505083085115274e-11,118767671668224,1876867840,118769548536064,Output-Stationary,1,256
1,AMW_1,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",8.373040675698729e-07,39.442246656,0.0253535253384933,2495815.8983194395,215689.5539956582,9.088350729978473e-08,25424.0635746964,3.5747042180242826e-12,1477861522015232,23355523584,1477884877538816,Output-Stationary,1,256
2,AMW_1,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",4.185883746224541e-06,3.5114186239999565,0.2847851843027681,147452.17069938706,215689.5539956582,1.105181825839991e-06,25424.0635746964,4.346991276956751e-11,81350778407424,1299678464,81352078085888,Output-Stationary,1,256
3,AMW_1,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",2.1792439563262386e-06,1.8468011520000376,0.5414768119009596,91204.71439654284,215689.5539956582,2.042732195926998e-06,25424.0635746964,8.034640843016343e-11,46289493266944,748395008,46290241661952,Output-Stationary,1,256
4,AMW_5,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",8.626137995485292e-06,4.6415333119998445,0.2154460461190014,347960.841587804,818448.9092037656,2.411487137600295e-07,41986.2581384768,5.743515246457207e-12,105015456825344,3215875840,105018672701184,Output-Stationary,5,256
5,AMW_5,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",4.424613813845012e-07,15.804318617599042,0.0632738445861526,4776051.427300569,818448.9092037656,5.6461834624412664e-08,41986.2581384768,1.3447693871216937e-12,1445010054578176,44205833728,1445054260411904,Output-Stationary,5,256
6,AMW_5,ShuffleNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",2.190501629151472e-06,1.5604378624000064,0.6408457677782607,289598.73575484176,818448.9092037656,6.382690543094067e-07,41986.2581384768,1.5201856097876177e-11,84979409223680,2628765952,84982037989632,Output-Stationary,5,256
7,AMW_5,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",1.1473501003980083e-06,0.958703308799987,1.0430755697001863,170470.69475009883,818448.9092037656,1.0469884521617135e-06,41986.2581384768,2.493645536853017e-11,48083423461376,1519316480,48084942777856,Output-Stationary,5,256
8,AMW_10,GoogLeNet,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",6.338718025480932e-06,3.1118644736000327,0.3213507556269399,486067.4807361661,1427215.4958640046,2.029480774122016e-07,22251.065426544,9.12082516148186e-12,107825470414848,4404224256,107829874639104,Output-Stationary,10,256
9,AMW_10,ResNet50,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",3.300531054903107e-07,10.440194815999266,0.0957836532386859,6549555.358924954,1427215.4958640046,4.66201266454867e-08,22251.065426544,2.0951862641989304e-12,1442686020157440,59145201664,1442745165359104,Output-Stationary,10,256
