name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
HEANA_10,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 100, 'batch_size': 1}]",0.002291171,0.000726695,1376.092698,801.3081632,618206.2316,0.000799645,20663.04573,3.87E-08,2.33476E+11,3707131,2.3348E+11,Output-Stationary,10,1
HEANA_5,GoogLeNet,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 50, 'batch_size': 1}]",0.00307368,0.00092986,1075.430502,572.1799692,320947.9702,0.001148611,20228.72805,5.68E-08,2.26436E+11,2653093,2.26438E+11,Output-Stationary,5,1
HEANA_1,GoogLeNet,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.005745809,0.001685044,593.456419,315.8765211,86898.08112,0.002163081,20769.10739,1.04E-07,2.28424E+11,1354991,2.28425E+11,Output-Stationary,1,1
HEANA_10,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.002291171,0.004624575,216.2360959,801.3081632,618206.2316,0.000273205,20663.04573,1.32E-08,2.33476E+11,3707131,2.3348E+11,Weight-Stationary,10,1
HEANA_10,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.002291171,0.006477935,154.370186,823.4603571,618206.2316,0.000207118,20663.04573,1.00E-08,4.63936E+11,7331515,4.63944E+11,Input-Stationary,10,1
HEANA_5,GoogLeNet,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.00307368,0.006656224,150.2353218,572.1799692,320947.9702,0.000369211,54693.23085,6.75E-09,2.26436E+11,2653093,2.26438E+11,Weight-Stationary,5,1
HEANA_5,GoogLeNet,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.00307368,0.008001754,124.9725951,583.6399541,320947.9702,0.00031728,54693.23085,5.80E-09,4.49825E+11,5247829,4.4983E+11,Input-Stationary,5,1
AMW_10,GoogLeNet,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000979402,0.012155721,82.26579344,1826.438639,1427215.496,5.22E-05,22251.06543,2.34E-09,2.12013E+11,8688833,2.12022E+11,Weight-Stationary,10,1
AMW_10,GoogLeNet,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000979402,0.012155721,82.26579344,1826.438639,1427215.496,5.22E-05,22251.06543,2.34E-09,2.12013E+11,8688833,2.12022E+11,Output-Stationary,10,1
HEANA_1,GoogLeNet,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.005745809,0.01420806,70.38258814,315.8765211,86898.08112,0.000644941,25532.85089,2.53E-08,2.28424E+11,1354991,2.28425E+11,Weight-Stationary,1,1
