,Name,config,hardware_utilization,total_latency,total_dynamic_energy,total_static_power,fps,total_data_dependent_power,fps/W,EDP
0,UNIFORM_NINE,"[{'element_size': 9, 'element_count': 20, 'units_count': 21, 'reconfig': []}]",99.99944332,0.035551391,330.1148798,56.02747264,28.12829471,9341.5961,0.00301108,0.000107048
1,UNIFORM_TWENTY_FIVE,"[{'element_size': 25, 'element_count': 20, 'units_count': 21, 'reconfig': []}]",49.94855094,0.012360655,324.2830302,144.7699442,80.90186346,26379.87138,0.003066803,3.79077E-05
2,UNIFORM_FOURTY_NINE,"[{'element_size': 49, 'element_count': 20, 'units_count': 21, 'reconfig': []}]",28.77119627,0.010041002,335.972124,277.8836515,99.5916494,33737.90163,0.002951922,2.96403E-05
3,HYBRID,"[{'element_size': 9, 'element_count': 20, 'units_count': 7, 'reconfig': []}, {'element_size': 25, 'element_count': 20, 'units_count': 7, 'reconfig': []}, {'element_size': 50, 'element_count': 20, 'units_count': 7, 'reconfig': []}]",45.25080476,0.010415818,326.7621876,161.4091576,96.00782557,31533.13626,0.003044665,3.17127E-05
4,UNIFORM_RECONFIG_TWENTY_FIVE,"[{'element_size': 25, 'element_count': 20, 'units_count': 21, 'reconfig': [9]}]",81.7267703,0.008635155,317.9365543,144.7699442,115.8056809,36963.6291,0.003132963,2.70536E-05
5,UNIFORM_RECONFIG_FOURTY_NINE,"[{'element_size': 50, 'element_count': 20, 'units_count': 21, 'reconfig': [9, 25]}]",93.68594448,0.003913946,315.7114049,283.4300559,255.4966093,80946.62354,0.003156359,1.23538E-05
6,HYBRID_RECONFIG,"[{'element_size': 9, 'element_count': 20, 'units_count': 7, 'reconfig': []}, {'element_size': 25, 'element_count': 20, 'units_count': 7, 'reconfig': [9]}, {'element_size': 50, 'element_count': 20, 'units_count': 7, 'reconfig': [9, 25]}]",91.08552384,0.005639193,317.5048195,161.4091576,177.3303324,56464.64436,0.003140555,1.77102E-05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Name,EDP,,,,,,,,
,UNIFORM_NINE,0.000107048,,,,,,,,
,UNIFORM_TWENTY_FIVE,3.79077E-05,,,,,,,,
,UNIFORM_RECONFIG_FOURTY_NINE,2.96403E-05,,,,,,,,
,HYBRID,3.17127E-05,,,,,,,,
,UNIFORM_RECONFIG_TWENTY_FIVE,2.70536E-05,,,,,,,,
,UNIFORM_RECONFIG_FOURTY_NINE,1.23538E-05,,,,,,,,
,HYBRID_RECONFIG,1.77102E-05,,,,,,,,
