,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,SCONNA,DenseNet121,"[{'element_size': 176, 'element_count': 176, 'units_count': 512, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'SCONNA', 'accelerator_type': 'STOCHASTIC', 'precision': 8, 'bitrate': 30}]",96.07348965,0.000192821,5186.145006,322.2282311,74708741.8,6.79E-05,1017535.695,6.67E-11
0,MAM (HOLYLIGHT [6]),DenseNet121,"[{'element_size': 44, 'element_count': 44, 'units_count': 3172, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM (HOLYLIGHT [6])', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5}]",100,0.018171244,55.03200702,413.4748899,113148518.3,4.86E-07,1016465.627,4.78E-13
0,AMM (DEAPCNN [8]),DenseNet121,"[{'element_size': 31, 'element_count': 31, 'units_count': 3971, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM (DEAPCNN [8])', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5}]",100,0.02841185,35.19658205,1314.796479,104764819.4,3.36E-07,1016204.575,3.30E-13
1,SCONNA,GoogLeNet,"[{'element_size': 176, 'element_count': 176, 'units_count': 512, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'SCONNA', 'accelerator_type': 'STOCHASTIC', 'precision': 8, 'bitrate': 30}]",97.15272322,0.000295728,3381.485118,145.7356699,74708741.8,4.50E-05,1017535.695,4.42E-11
,MAM (HOLYLIGHT [6]),GoogLeNet," [{'element_size': 44, 'element_count': 44, 'units_count': 3172, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM (HOLYLIGHT [6])', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5}]",,0.006327619,158.0373343,,,1.40E-06,,1.37E-12
,AMM (DEAPCNN [8]),GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 3971, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM (DEAPCNN [8])', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5}]",,0.014976704,66.7703675,,,6.37E-07,,6.27E-13
0,SCONNA,MobileNet_V2,"[{'element_size': 176, 'element_count': 176, 'units_count': 512, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'SCONNA', 'accelerator_type': 'STOCHASTIC', 'precision': 8, 'bitrate': 30}]",29.18754811,8.69E-07,1151079.137,47.76540083,74708741.8,0.008875586,1017535.695,8.72E-09
0,MAM (HOLYLIGHT [6]),MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 3172, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM (HOLYLIGHT [6])', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5}]",70.71668982,0.000403791,2476.530999,35.93080823,113148518.3,2.19E-05,1016465.627,2.15E-11
0,AMM (DEAPCNN [8]),MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 3971, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM (DEAPCNN [8])', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5}]",83.49262595,0.001299029,769.8060364,78.57792618,104764819.4,7.34E-06,1016204.575,7.23E-12
3,SCONNA,ResNet50,"[{'element_size': 176, 'element_count': 176, 'units_count': 512, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'SCONNA', 'accelerator_type': 'STOCHASTIC', 'precision': 8, 'bitrate': 30}]",89.99845188,0.0004757,2102.167366,431.6246948,74708741.8,2.78E-05,1017535.695,2.73E-11
