,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,ROBIN_EO,MobileNet_V2,"[{'element_size': 10, 'element_count': 10, 'units_count': 916, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ROBIN_EO', 'accelerator_type': 'ROBIN', 'precision': 1, 'bitrate': 5}]",99.49933478,3.82E-05,21967,45.85197562,518507.0908,0.002,20479.68177,7.44E-07
1,ROBIN_EO,ShuffleNet_V2,"[{'element_size': 10, 'element_count': 10, 'units_count': 916, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ROBIN_EO', 'accelerator_type': 'ROBIN', 'precision': 1, 'bitrate': 5}]",99.907638,8.81E-05,10000,98.8246342,518507.0908,0.001,20479.68177,3.38E-07
2,ROBIN_EO,ResNet18,"[{'element_size': 10, 'element_count': 10, 'units_count': 916, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ROBIN_EO', 'accelerator_type': 'ROBIN', 'precision': 1, 'bitrate': 5}]",100,0.000243115,3208,142.3726413,518507.0908,0.0008,20479.68177,1.82E-07
3,ROBIN_EO,VGG-small,"[{'element_size': 10, 'element_count': 10, 'units_count': 916, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ROBIN_EO', 'accelerator_type': 'ROBIN', 'precision': 1, 'bitrate': 5}]",100,0.006691364,81,2237.492391,518507.0908,0.0039,20479.68177,8.56E-09
0,ROBIN_PO,MobileNet_V2,"[{'element_size': 50, 'element_count': 50, 'units_count': 183, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ROBIN_PO', 'accelerator_type': 'ROBIN', 'precision': 1, 'bitrate': 5}]",65.84019005,8.22E-07,115688,34.7108406,479039.0155,0.002,102101.7024,2.79E-07
1,ROBIN_PO,ShuffleNet_V2,"[{'element_size': 50, 'element_count': 50, 'units_count': 183, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ROBIN_PO', 'accelerator_type': 'ROBIN', 'precision': 1, 'bitrate': 5}]",90.8275377,1.59E-05,53599.50192,55.83306491,479039.0155,0.001,102101.7024,1.54E-07
2,ROBIN_PO,ResNet18,"[{'element_size': 50, 'element_count': 50, 'units_count': 183, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ROBIN_PO', 'accelerator_type': 'ROBIN', 'precision': 1, 'bitrate': 5}]",100,5.99E-05,23000,137.4047523,479039.0155,0.0007,102101.7024,5.90E-08
3,ROBIN_PO,VGG-small,"[{'element_size': 50, 'element_count': 50, 'units_count': 183, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ROBIN_PO', 'accelerator_type': 'ROBIN', 'precision': 1, 'bitrate': 5}]",99.74756565,0.000910771,2320,2902.366547,479039.0155,0.0028,102101.7024,2.93E-09
0,LIGHTBULB,MobileNet_V2,"[{'element_size': 16, 'element_count': 4, 'units_count': 227, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'LIGHTBULB', 'accelerator_type': 'LIGHTBULB', 'precision': 1, 'bitrate': 50}]",96.52677216,2.65E-06,376772.7156,44.71204511,22368.84366,0.010051056,2622.612048,8.52E-06
1,LIGHTBULB,ShuffleNet_V2,"[{'element_size': 16, 'element_count': 4, 'units_count': 227, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'LIGHTBULB', 'accelerator_type': 'LIGHTBULB', 'precision': 1, 'bitrate': 50}]",99.18146029,2.02E-05,49520.34593,76.93078413,22368.84366,0.005815269,2622.612048,4.93E-06
2,LIGHTBULB,ResNet18,"[{'element_size': 16, 'element_count': 4, 'units_count': 227, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'LIGHTBULB', 'accelerator_type': 'LIGHTBULB', 'precision': 1, 'bitrate': 50}]",100,5.76E-05,17368.05833,127.2582585,22368.84366,0.003500687,2622.612048,2.97E-06
3,LIGHTBULB,VGG-small,"[{'element_size': 16, 'element_count': 4, 'units_count': 227, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'LIGHTBULB', 'accelerator_type': 'LIGHTBULB', 'precision': 1, 'bitrate': 50}]",100,0.001105601,904.4854992,2089.270925,22368.84366,0.0031,2622.612048,1.80E-07
0,OXBNN_5,MobileNet_V2,"[{'element_size': 66, 'element_count': 66, 'units_count': 100, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'OXBNN_5', 'accelerator_type': 'ONNA', 'precision': 1, 'bitrate': 5}]",56.18303164,4.06E-08,24630541.87,34.82146324,218626.479,0.028710602,34909.76063,8.22E-07
1,OXBNN_5,ShuffleNet_V2,"[{'element_size': 66, 'element_count': 66, 'units_count': 100, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'OXBNN_5', 'accelerator_type': 'ONNA', 'precision': 1, 'bitrate': 5}]",87.43231708,1.47E-05,68005.00517,59.06645667,218626.479,0.01605618,34909.76063,4.60E-07
2,OXBNN_5,ResNet18,"[{'element_size': 66, 'element_count': 66, 'units_count': 100, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'OXBNN_5', 'accelerator_type': 'ONNA', 'precision': 1, 'bitrate': 5}]",100,4.01E-05,36946.61425,200.2633562,218626.479,0.004784068,34909.76063,1.37E-07
3,OXBNN_5,VGG-small,"[{'element_size': 66, 'element_count': 66, 'units_count': 100, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'OXBNN_5', 'accelerator_type': 'ONNA', 'precision': 1, 'bitrate': 5}]",99.73286116,0.000331393,8017.563426,4652.231053,218626.479,0.0061,34909.76063,6.06E-09
0,OXBNN_50,MobileNet_V2,"[{'element_size': 19, 'element_count': 19, 'units_count': 1123, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'OXBNN_50', 'accelerator_type': 'ONNA', 'precision': 1, 'bitrate': 50}]",94.72502346,2.65E-08,37792894.94,48.92255821,2367159.222,0.020414332,48538.80809,4.21E-07
1,OXBNN_50,ShuffleNet_V2,"[{'element_size': 19, 'element_count': 19, 'units_count': 1123, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'OXBNN_50', 'accelerator_type': 'ONNA', 'precision': 1, 'bitrate': 50}]",99.01895781,1.47E-05,67930.0755,96.11886992,2367159.222,0.007635577,48538.80809,1.57E-07
2,OXBNN_50,ResNet18,"[{'element_size': 19, 'element_count': 19, 'units_count': 1123, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'OXBNN_50', 'accelerator_type': 'ONNA', 'precision': 1, 'bitrate': 50}]",100,3.98E-05,37148.90668,174.9344397,2367159.222,0.003716641,48538.80809,7.66E-08
3,OXBNN_50,VGG-small,"[{'element_size': 19, 'element_count': 19, 'units_count': 1123, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'OXBNN_50', 'accelerator_type': 'ONNA', 'precision': 1, 'bitrate': 50}]",100,0.000312934,9195.562208,2994.916658,2367159.222,0.0065,48538.80809,5.51E-09
