,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,STOCHASTIC,DenseNet121,"[{'element_size': 207, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'STOCHASTIC', 'accelerator_type': 'STOCHASTIC', 'precision': 4, 'bitrate': 30}]",93.76996952,0.000198851,5028.893423,330.4508396,256731.0902,0.002621218,1328.493036,1.97E-06
1,STOCHASTIC,GoogLeNet,"[{'element_size': 207, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'STOCHASTIC', 'accelerator_type': 'STOCHASTIC', 'precision': 4, 'bitrate': 30}]",95.14789418,0.000287133,3482.704498,145.0675335,256731.0902,0.004570728,1328.493036,3.44E-06
2,STOCHASTIC,Inception_V3,"[{'element_size': 207, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'STOCHASTIC', 'accelerator_type': 'STOCHASTIC', 'precision': 4, 'bitrate': 30}]",97.1806433,0.000593111,1686.025182,660.2085048,256731.0902,0.001230802,1328.493036,9.26E-07
3,STOCHASTIC,ResNet50,"[{'element_size': 207, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'STOCHASTIC', 'accelerator_type': 'STOCHASTIC', 'precision': 4, 'bitrate': 30}]",87.2772351,0.00040641,2460.568458,452.0341665,256731.0902,0.001797358,1328.493036,1.35E-06
4,STOCHASTIC,VGG16,"[{'element_size': 207, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'STOCHASTIC', 'accelerator_type': 'STOCHASTIC', 'precision': 4, 'bitrate': 30}]",96.79602814,0.00324472,308.1930017,1735.819412,256731.0902,0.000389281,1328.493036,2.93E-07
5,STOCHASTIC,VGG19,"[{'element_size': 207, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'STOCHASTIC', 'accelerator_type': 'STOCHASTIC', 'precision': 4, 'bitrate': 30}]",97.46779828,0.004310294,232.0027622,2211.559117,256731.0902,0.000301373,1328.493036,2.27E-07
6,ANALOG_AMM,DenseNet121,"[{'element_size': 32, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.013413563,74.55140703,311.8998284,29782.43109,0.001405702,213.924797,6.57E-06
7,ANALOG_AMM,GoogLeNet,"[{'element_size': 32, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.006194795,161.4258543,141.2926161,29782.43109,0.003069475,213.924797,1.43E-05
8,ANALOG_AMM,Inception_V3,"[{'element_size': 32, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.94443691,0.039760029,25.15088702,635.2152678,29782.43109,0.000549642,213.924797,2.57E-06
9,ANALOG_AMM,ResNet50,"[{'element_size': 32, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.034800089,28.73555871,535.6246007,29782.43109,0.00063611,213.924797,2.97E-06
10,ANALOG_AMM,VGG16,"[{'element_size': 32, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.9508804,0.266767991,3.748575672,3247.69556,29782.43109,8.93E-05,213.924797,4.18E-07
11,ANALOG_AMM,VGG19,"[{'element_size': 32, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'ANALOG_AMM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.96367133,0.367143597,2.723729923,4391.736336,29782.43109,6.52E-05,213.924797,3.05E-07
12,ANALOG_MAM,DenseNet121,"[{'element_size': 40, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.128122534,7.805028298,158.5842461,31464.9643,0.000238666,245.1171785,9.74E-07
13,ANALOG_MAM,GoogLeNet,"[{'element_size': 40, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.132632593,7.539624891,73.73030561,31464.9643,0.00023546,245.1171785,9.61E-07
14,ANALOG_MAM,Inception_V3,"[{'element_size': 40, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.86425195,1.345874396,0.743011386,338.763441,31464.9643,2.34E-05,245.1171785,9.56E-08
15,ANALOG_MAM,ResNet50,"[{'element_size': 40, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",100,0.852729115,1.172705356,223.1364117,31464.9643,3.70E-05,245.1171785,1.51E-07
16,ANALOG_MAM,VGG16,"[{'element_size': 40, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.75996259,24.89493167,0.040168819,862.311643,31464.9643,1.28E-06,245.1171785,5.20E-09
17,ANALOG_MAM,VGG19,"[{'element_size': 40, 'element_count': 128, 'units_count': 32, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'ANALOG_MAM', 'accelerator_type': 'ANALOG', 'precision': 4}]",99.8106908,35.39151703,0.028255358,1093.936834,31464.9643,8.97E-07,245.1171785,3.66E-09
