,Parameter,Architecture,Neural_Network,Value
1,fps,AMM,GoogleNet,227.1349159052744
2,fps,AMM,OverFeatFast,125.38189255470988
3,fps,AMM,ResNet34,78.48110682859941
4,fps,AMM,ResNet50,105.95263019683534
5,fps,AMM,VGG16,20.355296464304107
9,fps,DAMM,GoogleNet,39.37125702534846
10,fps,DAMM,OverFeatFast,7.817484938516992
11,fps,DAMM,ResNet34,22.063064439783545
12,fps,DAMM,ResNet50,105.82216736960085
13,fps,DAMM,VGG16,82.55739508163418
21,fps,MAM,GoogleNet,220.24738748162102
22,fps,MAM,OverFeatFast,123.06408611535284
23,fps,MAM,ResNet34,73.71001471534791
24,fps,MAM,ResNet50,105.6257471374852
25,fps,MAM,VGG16,19.126896708679453
27,fps,RAMM,GoogleNet,568.5619315138175
28,fps,RAMM,OverFeatFast,601.1741466184372
29,fps,RAMM,ResNet34,530.3334810171382
30,fps,RAMM,ResNet50,382.1120710660663
31,fps,RAMM,VGG16,147.61664880264
59,fps,RMAM,GoogleNet,560.9910474621722
60,fps,RMAM,OverFeatFast,993.6623079777803
61,fps,RMAM,ResNet34,693.2556578362455
62,fps,RMAM,ResNet50,306.47069596383784
63,fps,RMAM,VGG16,199.3156279340365
65,fps_per_w,AMM,GoogleNet,0.1757864049747605
66,fps_per_w,AMM,OverFeatFast,0.08486898743217959
67,fps_per_w,AMM,ResNet34,0.05002552070732899
68,fps_per_w,AMM,ResNet50,0.06610637498109577
69,fps_per_w,AMM,VGG16,0.007387785457217134
73,fps_per_w,DAMM,GoogleNet,0.11357498694653975
74,fps_per_w,DAMM,OverFeatFast,0.014063965938346235
75,fps_per_w,DAMM,ResNet34,0.036094350201440084
76,fps_per_w,DAMM,ResNet50,0.09105487751600712
77,fps_per_w,DAMM,VGG16,0.03580164331976863
81,fps_per_w,MAM,GoogleNet,0.1162987152244873
82,fps_per_w,MAM,OverFeatFast,0.05956883448394891
83,fps_per_w,MAM,ResNet34,0.03396094612192907
84,fps_per_w,MAM,ResNet50,0.04792696830912577
85,fps_per_w,MAM,VGG16,0.00569787556614841
87,fps_per_w,RAMM,GoogleNet,0.4093479291123416
88,fps_per_w,RAMM,OverFeatFast,0.3833882684498576
89,fps_per_w,RAMM,ResNet34,0.3210145169453959
90,fps_per_w,RAMM,ResNet50,0.2256566568358552
91,fps_per_w,RAMM,VGG16,0.05297058443606241
119,fps_per_w,RMAM,GoogleNet,0.34271032176390903
120,fps_per_w,RMAM,OverFeatFast,0.5500187166979214
121,fps_per_w,RMAM,ResNet34,0.363402902715856
122,fps_per_w,RMAM,ResNet50,0.15716331233488834
123,fps_per_w,RMAM,VGG16,0.06484517160601083
