,Parameter,Architecture,Neural_Network,Value
1,fps_per_w,AMM,GoogleNet,0.1757864049747605
2,fps_per_w,AMM,OverFeatFast,0.08486898743217959
3,fps_per_w,AMM,ResNet34,0.05002552070732899
5,fps_per_w,AMM,VGG16,0.007387785457217134
9,fps_per_w,DAMM,GoogleNet,0.11357498694653975
10,fps_per_w,DAMM,OverFeatFast,0.014063965938346235
11,fps_per_w,DAMM,ResNet34,0.036094350201440084
13,fps_per_w,DAMM,VGG16,0.03580164331976863
17,fps_per_w,MAM,GoogleNet,0.1162987152244873
18,fps_per_w,MAM,OverFeatFast,0.05956883448394891
19,fps_per_w,MAM,ResNet34,0.03396094612192907
21,fps_per_w,MAM,VGG16,0.00569787556614841
23,fps_per_w,RAMM,GoogleNet,0.4093479291123416
24,fps_per_w,RAMM,OverFeatFast,0.3833882684498576
25,fps_per_w,RAMM,ResNet34,0.3210145169453959
27,fps_per_w,RAMM,VGG16,0.05297058443606241
55,fps_per_w,RMAM,GoogleNet,0.34271032176390903
56,fps_per_w,RMAM,OverFeatFast,0.5500187166979214
57,fps_per_w,RMAM,ResNet34,0.363402902715856
59,fps_per_w,RMAM,VGG16,0.06484517160601083
