,Z,SOMA,Precision
0,1,1,4
1,1,2,4
2,1,3,4
3,1,4,4
4,1,5,4
5,1,10,4
6,1,15,4
7,1,20,4
8,1,25,4
9,1,30,4
10,1,35,4
11,1,40,4
12,1,45,4
13,1,50,4
14,1,55,4
15,1,60,4
16,2,1,4
17,2,2,4
18,2,3,4
19,2,4,4
20,2,5,4
21,2,10,4
22,2,15,4
23,2,20,4
24,2,25,4
25,2,30,4
26,2,35,4
27,2,40,4
28,2,45,4
29,2,50,4
30,2,55,4
31,2,60,4
32,3,1,4
33,3,2,4
34,3,3,4
35,3,4,4
36,3,5,4
37,3,10,4
38,3,15,4
39,3,20,4
40,3,25,4
41,3,30,4
42,3,35,4
43,3,40,4
44,3,45,4
45,3,50,4
46,3,55,4
47,3,60,4
48,4,1,4
49,4,2,4
50,4,3,4
51,4,4,4
52,4,5,4
53,4,10,4
54,4,15,4
55,4,20,4
56,4,25,4
57,4,30,4
58,4,35,4
59,4,40,4
60,4,45,4
61,4,50,4
62,4,55,4
63,4,60,4
64,5,1,4
65,5,2,4
66,5,3,4
67,5,4,4
68,5,5,4
69,5,10,4
70,5,15,4
71,5,20,4
72,5,25,4
73,5,30,4
74,5,35,4
75,5,40,4
76,5,45,4
77,5,50,4
78,5,55,4
79,5,60,4
80,6,1,4
81,6,2,4
82,6,3,4
83,6,4,4
84,6,5,4
85,6,10,4
86,6,15,4
87,6,20,4
88,6,25,4
89,6,30,4
90,6,35,4
91,6,40,4
92,6,45,4
93,6,50,4
94,6,55,4
95,6,60,4
96,7,1,4
97,7,2,4
98,7,3,4
99,7,4,4
100,7,5,4
101,7,10,4
102,7,15,4
103,7,20,4
104,7,25,4
105,7,30,4
106,7,35,4
107,7,40,4
108,7,45,4
109,7,50,4
110,7,55,4
111,7,60,4
112,8,1,4
113,8,2,4
114,8,3,4
115,8,4,4
116,8,5,4
117,8,10,4
118,8,15,4
119,8,20,4
120,8,25,4
121,8,30,4
122,8,35,4
123,8,40,4
124,8,45,4
125,8,50,4
126,8,55,4
127,8,60,4
128,9,1,4
129,9,2,4
130,9,3,4
131,9,4,4
132,9,5,4
133,9,10,4
134,9,15,4
135,9,20,4
136,9,25,4
137,9,30,4
138,9,35,4
139,9,40,4
140,9,45,4
141,9,50,4
142,9,55,4
143,9,60,4
144,10,1,4
145,10,2,4
146,10,3,4
147,10,4,4
148,10,5,4
149,10,10,4
150,10,15,4
151,10,20,4
152,10,25,4
153,10,30,4
154,10,35,4
155,10,40,4
156,10,45,4
157,10,50,4
158,10,55,4
159,10,60,4
160,11,1,4
161,11,2,4
162,11,3,4
163,11,4,4
164,11,5,4
165,11,10,4
166,11,15,4
167,11,20,4
168,11,25,4
169,11,30,4
170,11,35,4
171,11,40,4
172,11,45,4
173,11,50,4
174,11,55,4
175,11,60,4
176,12,1,4
177,12,2,4
178,12,3,4
179,12,4,4
180,12,5,4
181,12,10,4
182,12,15,4
183,12,20,4
184,12,25,4
185,12,30,4
186,12,35,4
187,12,40,4
188,12,45,4
189,12,50,4
190,12,55,4
191,12,60,4
192,13,1,4
193,13,2,4
194,13,3,4
195,13,4,4
196,13,5,4
197,13,10,4
198,13,15,4
199,13,20,4
200,13,25,4
201,13,30,4
202,13,35,4
203,13,40,4
204,13,45,4
205,13,50,4
206,13,55,4
207,13,60,4
208,14,1,4
209,14,2,4
210,14,3,4
211,14,4,4
212,14,5,4
213,14,10,4
214,14,15,4
215,14,20,4
216,14,25,4
217,14,30,4
218,14,35,4
219,14,40,4
220,14,45,4
221,14,50,4
222,14,55,4
223,14,60,4
224,15,1,4
225,15,2,4
